PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,METRO,BUS,RENFE,BICIMAD,APARCAMIENTOS,ACCESIBILIDAD,CONTENT-URL,DIRECCION,NUM,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
1943,Centro Cultural Buero Vallejo (San Blas - Canillejas),,"De lunes a viernes, de 9:30 a 13:30 y de 16:30 a 18 horas.   Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Torres Arias y Canillejas (línea 5)  |BUS: 105, 140, 153, 165, 77",Torres Arias y Canillejas (línea 5)  ,"105, 140, 153, 165, 77",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE BOLTAÑA,27,SAN BLAS-CANILLEJAS,40.44477474902185,-3.6129105844633775,917 411 182,ccbvallejo@madrid.es,CentrosCulturales
118317,Centro Cultural Carril del Conde (Hortaleza),,"De lunes a viernes, de 9 a 14 horas y de 17 a 19 horas. Verano y semana de San Isidro, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Arturo Soria (línea 4)  |BUS: 9, 72, 73",Arturo Soria (línea 4)  ,"9, 72, 73",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD,CALLE CARRIL DEL CONDE,57,HORTALEZA,40.46088953531134,-3.6544210187969433,917 161 240,cccarrilconde@madrid.es,CentrosCulturales
1945,Centro Cultural Casa de Vacas (Retiro),,De 10 a 21 horas.,"|METRO: Retiro (línea 2)  |BUS: 2, 20, 28  |BICIMAD: Estación 102 (calle Alcalá, 95), estación 60 (Plaza Independencia, 6)",Retiro (línea 2)  ,"2, 20, 28  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD,PASEO COLOMBIA,1,RETIRO,40.41906024374356,-3.6840615387926956,914 095 819,cccasadevacas@madrid.es,SalasExposiciones
1925,Centro Cultural Casa del Reloj (Arganzuela),,"De lunes a viernes, de 10 a 13 y de 17 a 19 horas.   Verano y semana de San Isidro: de lunes a viernes, de 9 a 14 horas.   Agosto cerrado.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Legazpi (líneas 3, 6)  |BUS: 19, 247, 45, 47, 59, 62, 76, 8, 85, 86, 148, 186, 78, 123, 22, 79, 156, 180, T32  |BICIMAD: Estación 165 (Paseo Chopera, 14) / estación 177 (calle Bolivar, 3)","Legazpi (líneas 3, 6)  ","19, 247, 45, 47, 59, 62, 76, 8, 85, 86, 148, 186, 78, 123, 22, 79, 156, 180, T32  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,PASEO CHOPERA,6,ARGANZUELA,40.39466755008527,-3.700396761468562,915 886 118 / 915 886 299,crelojarganzuela@madrid.es,CentrosCulturales
4551096,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),,"De lunes a jueves, de 10 a 12 horas y de 16:30 a 19 horas. Viernes, de 10 a 12 horas y de 16:30 a 18 horas.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",|BUS: 77,Sin metro,77,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=07f63190712b1110VgnVCM1000000b205a0aRCRD,AVENIDA SEPTIMA,11,SAN BLAS-CANILLEJAS,40.44844757572015,-3.598099871155595,917 415 852,cccpegaso@madrid.es,CentrosCulturales
11876732,Centro Cultural Clara del Rey - Museo ABC (Centro),,"De enero a junio y de octubre a diciembre:   Lunes a jueves, de 9 a 15 y de 16 a 18 horas. Viernes, de 9 a 15 horas.   Julio y septiembre y Semana de San Isidro:   Lunes a viernes, de 9 a 14 horas. Sábados, cerrado.   Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10), San Bernardo (líneas 2, 4)  |BUS: 002, 3, 147, 001, 1, 2, 44, 133, 138, C1, 21, C03  |BICIMAD: Estación 13 (calle Conde Duque, 22)","Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10), San Bernardo (líneas 2, 4)  ","002, 3, 147, 001, 1, 2, 44, 133, 138, C1, 21, C03  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8afb908d1825810VgnVCM1000001d4a900aRCRD,CALLE AMANIEL,29,CENTRO,40.42741340671151,-3.7095381101739444,915 222 823,ccclararey@madrid.es,CentrosCulturales
80143,Centro Cultural Dotacional Integrado Arganzuela,,"De lunes a viernes, de 10 a 13 y de 17 a 18:30 horas.   Verano, de lunes a viernes, de 10 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Palos de la Frontera (línea 3)  |BUS: 19, 247, 45, 47, 8, 86, 55, 6, E1, 59, 85  |BICIMAD: Estación 120 (calle Palos de la Frontera, 40)  |RENFE: Delicias (líneas C1, C7, C10, Regional)",Palos de la Frontera (línea 3)  ,"19, 247, 45, 47, 8, 86, 55, 6, E1, 59, 85  ","Delicias (líneas C1, C7, C10, Regional)","Delicias (líneas C1, C7, C10, Regional)","Delicias (líneas C1, C7, C10, Regional)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9ea79262ef5d010VgnVCM1000000b205a0aRCRD,CALLE CANARIAS,17,ARGANZUELA,40.40242416544921,-3.6954440062549017,915 063 610,cdiarganzuela@madrid.es,CentrosCulturales
5498725,Centro Cultural Eduardo Úrculo (Tetuán),,"Secretaría:   De lunes a jueves, de 9:30 a 13:30 y de 16:30 a 18 horas. Viernes, de 9:30 a 13:30 horas. Julio, solo mañanas. Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Ventilla (línea 9)  |BUS: 177, 42",Ventilla (línea 9)  ,"177, 42",Sin renfe,Sin renfe,Sin renfe,"ACCESSIBLE,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8f9338588355210VgnVCM1000000b205a0aRCRD,PLAZA DONOSO,5,TETUAN,40.46900764611639,-3.697595691925329,917 337 249,cceurculo@madrid.es,CentrosCulturales
11979985,Centro Cultural El Plantío (Moncloa - Aravaca),,"De lunes a viernes, de 9 a 21 horas, excepto festivos, julio, agosto y septiembre.  Sábados, de 9 a 15 horas, excepto festivos, julio, agosto y septiembre.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",|BUS: 163,Sin metro,163,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=45ef9eebdd647810VgnVCM2000001f4a900aRCRD,CALLE JOSE LOMBANA IGLESIAS,4,MONCLOA-ARAVACA,40.47096731070447,-3.8245164150407103,Sin teléfono,Sin email,CentrosCulturales
1939,Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),,"De lunes a viernes, de 9 a 13:45 y de 17 a 18:45 horas. Julio, de lunes a viernes de 9 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 102, 24    |RENFE: El Pozo (línea C2).",Sin metro,"102, 24    ",El Pozo (línea C2).,El Pozo (línea C2).,El Pozo (línea C2).,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD,AVENIDA GLORIETAS,19,PUENTE DE VALLECAS,40.37381624358889,-3.6599325731670977,917 866 644,ccptioraimundo@madrid.es,CentrosCulturales
11848432,Centro Cultural Emilia Pardo Bazán (Salamanca),,"De lunes a viernes, de 9 a 21 horas, ininterrumpidamente. A partir de octubre, sábados y domingos, de 9 a 21 horas, ininterrrumpidamente. Festivos cerrado.","|METRO: Colón (línea 4), Serrano (línea 4)   |BUS:  21, 53, 14, 150, 27, 45, 5, 37, C03, 119, 51, 74, 9  |BICIMAD: Estación 93 (calle Goya 1)  |APARCAMIENTOS: Colón (2), Plaza de Colón","Colón (línea 4), Serrano (línea 4)   "," 21, 53, 14, 150, 27, 45, 5, 37, C03, 119, 51, 74, 9  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc8d531521b74810VgnVCM1000001d4a900aRCRD,CALLE GOYA,1,SALAMANCA,40.42585800515975,-3.689601594290468,913 052 081,ccemiliapardobazan@madrid.es,SalasEstudioLectura
1931,Centro Cultural Federico Chueca (Hortaleza),,"De lunes a viernes, de 9 a 14 y de 17 a 19 horas. Julio y agosto, cerrado. Semana de San Isidro, de lunes a viernes de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 72, 73, 9",Sin metro,"72, 73, 9",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=90573d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE BENITA AVILA,17,HORTALEZA,40.46498334634005,-3.650568266584691,913 000 389,ccfchueca@madrid.es,CentrosCulturales
4703628,Centro Cultural Fernando Lázaro Carreter (Carabanchel),,"De lunes a jueves, de 10 a 13 y de 16:30 a 18 horas. viernes, de 10 a 13 horas. Julio, de lunes a viernes, de 10 a 13 horas.  Agosto y festivos, cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Marqués de Vadillo (línea 5), Plaza Elíptica (línea 6 y 11)  |BUS: 116","Marqués de Vadillo (línea 5), Plaza Elíptica (línea 6 y 11)  ",116,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=340ed2d6fe9a6110VgnVCM1000000b205a0aRCRD,CALLE VERDAD,29,CARABANCHEL,40.39164343238081,-3.717140510927299,914 690 895,cclazaro@madrid.es,CentrosCulturales
1954,Centro Cultural Fernando de los Ríos (Latina),Información general en el teléfono: 91 719 89 93. Correo electrónico: ccfrios@madrid.es  Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid.,"Horario de verano: durante los meses de julio, agosto y septiembre, de 9 a 21 horas. Cerrado sábados y domingos.   Horarios de apertura:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas y de 16 a 20:30 horas  Horarios de atención al público:  Lunes a Jueves: de 8:30 a 14 horas y de 16 a 18:30 h. Viernes de 8:30 a 14:30 horas.","|BUS. Líneas: 25, 31 y 138.",Sin metro,"Líneas: 25, 31 y 138.",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE CAMARENA,10,LATINA,40.39552931214334,-3.7562667464373223,917 198 930 / 917 198 931 / 917 198 993,ccfrios@madrid.es,CentrosCulturales
1944,Centro Cultural Francisco Fatou (Villa de Vallecas),,"Lunes a viernes, de 9 a 14 y de 16 a 20:30 horas.  Agosto, lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Villa de Vallecas (línea 1)  |BUS: 54, 58, 103, 142, 143, 130, T31",Villa de Vallecas (línea 1)  ,"54, 58, 103, 142, 143, 130, T31",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE MANUEL VELEZ,10,VILLA DE VALLECAS,40.379584618162156,-3.623110349262379,913 806 620,ccfranciscofatou@madrid.es,CentrosCulturales
1921,Centro Cultural Galileo (Chamberí),,"Lunes a domingo, de 8 a 21 horas. Abierto todos los días, excepto 1 y 6 enero, 1 y 2 mayo, 15 agosto, 12 octubre y 25 diciembre.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Quevedo (línea 2)  |BUS: 2, 16, 61  |BICIMAD: Estación 127 (calle Fernando el Católico, 19)",Quevedo (línea 2)  ,"2, 16, 61  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30181e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE GALILEO,39,CHAMBERI,40.43371190964793,-3.7104543597957758,915 913 901,ccgalileo@madrid.es,CentrosCulturales
70243,Centro Cultural Gloria Fuertes (Barajas),,"De lunes a viernes, de 9 a 14 y de 15 a 17 horas.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 105, 112, 115, 151, 166",Sin metro,"105, 112, 115, 151, 166",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e5068540e41c010VgnVCM2000000c205a0aRCRD,AVENIDA LOGRO&AMP;NTILDE;O,179,BARAJAS,40.4606308732073,-3.59366944150524,913 120 243,ccgloriafuertes@madrid.es,CentrosCulturales
1930,Centro Cultural Hortaleza,,"De lunes a viernes, de 9 a 14 horas y de 17 a 19 horas. Julio y agosto y semana de San Isidro, de lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Parque de Santa María (línea 4)  |BUS: 107, 9",Parque de Santa María (línea 4)  ,"107, 9",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=86381e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE SANTA VIRGILIA,15,HORTALEZA,40.476859845869534,-3.6420353342333227,913 821 493,cchortaleza@madrid.es,CentrosCulturales
1929,Centro Cultural Huerta de la Salud (Hortaleza),,"El centro permanecerá abierto durante la celebración de las actividades que se programen.  Silo de Hortaleza (Sala de exposiciones): de lunes a sábado, de 10 a 14 y de 17 a 21 horas.","|METRO: San Lorenzo (línea 4)  |BUS: 9, 72, 87, 107",San Lorenzo (línea 4)  ,"9, 72, 87, 107",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc581e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE MAR DE LAS ANTILLAS,8,HORTALEZA,40.47484735634347,-3.645543866498554,913 825 309 / 914 802 781 (Silo de Hortaleza),cultuhortaleza@madrid.es,CentrosCulturales
6017747,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),,"De lunes a jueves, de 9 a 14 y de 15 a 18 horas. Viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 167, 77",Sin metro,"167, 77",Sin renfe,Sin renfe,Sin renfe,PARTIALLY ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b790e37de110f210VgnVCM1000000b205a0aRCRD,CALLE FEBRERO,4,SAN BLAS-CANILLEJAS,40.446826729909155,-3.5727382893523254,913 293 900,ccjllopezvazquez@madrid.es,CentrosCulturales
142944,Centro Cultural José Luis Sampedro (Latina),Información general en el teléfono: 91 526 78 20. Correo electrónico: cclucero@madrid.es  Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid.,"Horario de verano:    Cerrado del 1 al 27 de agosto.   Julio, agosto y septiembre, de 9 a 21 horas. Cerrado sábados y domingos.   Horarios de apertura y atención al público:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas.",|METRO. Línea 6. Estaciones: Lucero y Laguna. |BUS. Línea 55. |RENFE RENFE: Línea C 5. Estación: Laguna.,Línea 6. Estaciones: Lucero y Laguna. ,Línea 55. ,Línea C 5. Estación: Laguna.,Línea C 5. Estación: Laguna.,Línea C 5. Estación: Laguna.,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD,CALLE CASTROSERNA,4,LATINA,40.40159394334669,-3.749110841406562,915 267 820 / 915 267 821,cclucero@madrid.es,CentrosCulturales
1919,Centro Cultural Juan Genovés (Moncloa - Aravaca),,De lunes a viernes de 9 a 15 y de 15:30 a 21:30 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.,"|BUS: 160, 163, 161.",Sin metro,"160, 163, 161.",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13153d0b5e71c010VgnVCM1000000b205a0aRCRD,TRAVESIA CAÑO,5,MONCLOA-ARAVACA,40.45866721398762,-3.786129575145957,917 400 882 / 914 801 186 / 917 401 596,ccjgenoves@madrid.es,CentrosCulturales
