PK,NOMBRE,same_as_wikidata_museum,DESCRIPCION-ENTIDAD,HORARIO,METRO,same_as_wikidata_metro,BUS,RENFE,ACCESIBILIDAD,CONTENT-URL,DIRECCION,same_as_wikidata_direccion,NUM,DISTRITO,same_as_wikidata_distrito,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
1943,Centro Cultural Buero Vallejo (San Blas - Canillejas),,,"De lunes a viernes, de 9:30 a 13:30 y de 16:30 a 18 horas.   Agosto cerrado.   Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Torre Arias,https://www.wikidata.org/entity/Q2056497,"105, 140, 153, 165, 77",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE BOLTAnA,,27,San Blas-Canillejas,https://www.wikidata.org/entity/Q2001937,40.44477474902185,-3.6129105844633775,917 411 182,ccbvallejo@madrid.es,CentrosCulturales
118317,Centro Cultural Carril del Conde (Hortaleza),,,"De lunes a viernes, de 9 a 14 horas y de 17 a 19 horas. Verano y semana de San Isidro, de 9 a 14 horas.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Arturo Soria,https://www.wikidata.org/entity/Q2481371,"9, 72, 73",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD,CALLE CARRIL DEL CONDE,,57,Hortaleza,https://www.wikidata.org/entity/Q1928529,40.46088953531134,-3.6544210187969433,917 161 240,cccarrilconde@madrid.es,CentrosCulturales
1945,Casa de Vacas,https://www.wikidata.org/entity/Q21155850,,De 10 a 21 horas.,Retiro,https://www.wikidata.org/entity/Q2056874,"2, 20, 28  ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD,Paseo de Colombia,https://www.wikidata.org/entity/Q24023155,1,Retiro,https://www.wikidata.org/entity/Q2002296,40.41906024374356,-3.6840615387926956,914 095 819,cccasadevacas@madrid.es,SalasExposiciones
1925,Centro Cultural Casa del Reloj,https://www.wikidata.org/entity/Q56426877,,"De lunes a viernes, de 10 a 13 y de 17 a 19 horas.   Verano y semana de San Isidro: de lunes a viernes, de 9 a 14 horas.   Agosto cerrado.    Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Legazpi,https://www.wikidata.org/entity/Q2056839,"19, 247, 45, 47, 59, 62, 76, 8, 85, 86, 148, 186, 78, 123, 22, 79, 156, 180, T32  ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,"Paseo de la Chopera, Madrid",https://www.wikidata.org/entity/Q27044458,6,Arganzuela,https://www.wikidata.org/entity/Q2000929,40.39466755008527,-3.700396761468562,915 886 118 / 915 886 299,crelojarganzuela@madrid.es,CentrosCulturales
4551096,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),,,"De lunes a jueves, de 10 a 12 horas y de 16:30 a 19 horas. Viernes, de 10 a 12 horas y de 16:30 a 18 horas.    Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Sin metro,,77,Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=07f63190712b1110VgnVCM1000000b205a0aRCRD,Avenida Septima,,11,San Blas-Canillejas,,40.44844757572015,-3.598099871155595,917 415 852,cccpegaso@madrid.es,CentrosCulturales
11876732,Centro Cultural Clara del Rey - Museo ABC (Centro),,,"De enero a junio y de octubre a diciembre:   Lunes a jueves, de 9 a 15 y de 16 a 18 horas. Viernes, de 9 a 15 horas.   Julio y septiembre y Semana de San Isidro:   Lunes a viernes, de 9 a 14 horas. Sabados, cerrado.   Agosto cerrado.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Ventura Rodriguez,https://www.wikidata.org/entity/Q2378663,"002, 3, 147, 001, 1, 2, 44, 133, 138, C1, 21, C03  ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8afb908d1825810VgnVCM1000001d4a900aRCRD,calle de Amaniel,https://www.wikidata.org/entity/Q24694982,29,Centro,https://www.wikidata.org/entity/Q1763376,40.42741340671151,-3.7095381101739444,915 222 823,ccclararey@madrid.es,CentrosCulturales
80143,Centro Cultural Dotacional Integrado Arganzuela,,,"De lunes a viernes, de 10 a 13 y de 17 a 18:30 horas.   Verano, de lunes a viernes, de 10 a 14 horas.   Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Palos de la Frontera,https://www.wikidata.org/entity/Q2481204,"19, 247, 45, 47, 8, 86, 55, 6, E1, 59, 85  ","Delicias (lineas C1, C7, C10, Regional)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9ea79262ef5d010VgnVCM1000000b205a0aRCRD,CALLE CANARIAS,,17,Arganzuela,https://www.wikidata.org/entity/Q2000929,40.40242416544921,-3.6954440062549017,915 063 610,cdiarganzuela@madrid.es,CentrosCulturales
5498725,Centro Cultural Eduardo urculo (Tetuan),,,"Secretaria:   De lunes a jueves, de 9:30 a 13:30 y de 16:30 a 18 horas. Viernes, de 9:30 a 13:30 horas. Julio, solo mananas. Agosto cerrado.   Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Ventilla,https://www.wikidata.org/entity/Q3192875,"177, 42",Sin Renfe,"ACCESSIBLE,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8f9338588355210VgnVCM1000000b205a0aRCRD,PLAZA DONOSO,,5,Tetuan,https://www.wikidata.org/entity/Q1773540,40.46900764611639,-3.697595691925329,917 337 249,cceurculo@madrid.es,CentrosCulturales
11979985,Centro Cultural El Plantio (Moncloa - Aravaca),,,"De lunes a viernes, de 9 a 21 horas, excepto festivos, julio, agosto y septiembre.  Sabados, de 9 a 15 horas, excepto festivos, julio, agosto y septiembre.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Sin metro,,163,Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=45ef9eebdd647810VgnVCM2000001f4a900aRCRD,CALLE JOSE LOMBANA IGLESIAS,,4,Moncloa-Aravaca,https://www.wikidata.org/entity/Q2017682,40.47096731070447,-3.8245164150407103,Sin telefono,Sin email,CentrosCulturales
1939,Centro Cultural El Pozo del tio Raimundo (Puente de Vallecas),,,"De lunes a viernes, de 9 a 13:45 y de 17 a 18:45 horas. Julio, de lunes a viernes de 9 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Sin metro,,"102, 24    ",El Pozo (linea C2).,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD,AVENIDA GLORIETAS,,19,Puente de Vallecas,https://www.wikidata.org/entity/Q2003054,40.37381624358889,-3.6599325731670977,917 866 644,ccptioraimundo@madrid.es,CentrosCulturales
11848432,Centro Cultural Emilia Pardo Bazan (Salamanca),,,"De lunes a viernes, de 9 a 21 horas, ininterrumpidamente. A partir de octubre, sabados y domingos, de 9 a 21 horas, ininterrrumpidamente. Festivos cerrado.",Colon,https://www.wikidata.org/entity/Q2481248," 21, 53, 14, 150, 27, 45, 5, 37, C03, 119, 51, 74, 9  ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc8d531521b74810VgnVCM1000001d4a900aRCRD,Calle de Goya,https://www.wikidata.org/entity/Q28015873,1,Salamanca,https://www.wikidata.org/entity/Q1773521,40.42585800515975,-3.689601594290468,913 052 081,ccemiliapardobazan@madrid.es,SalasEstudioLectura
1931,Centro Cultural Federico Chueca (Hortaleza),,,"De lunes a viernes, de 9 a 14 y de 17 a 19 horas. Julio y agosto, cerrado. Semana de San Isidro, de lunes a viernes de 9 a 14 horas.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Sin metro,,"72, 73, 9",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=90573d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE BENITA AVILA,,17,Hortaleza,https://www.wikidata.org/entity/Q1928529,40.46498334634005,-3.650568266584691,913 000 389,ccfchueca@madrid.es,CentrosCulturales
4703628,Centro Cultural Fernando Lazaro Carreter (Carabanchel),,,"De lunes a jueves, de 10 a 13 y de 16:30 a 18 horas. viernes, de 10 a 13 horas. Julio, de lunes a viernes, de 10 a 13 horas.  Agosto y festivos, cerrado.   Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Marques de Vadillo,https://www.wikidata.org/entity/Q2056948,116,Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=340ed2d6fe9a6110VgnVCM1000000b205a0aRCRD,CALLE DE LA VERDAD,,29,Carabanchel,https://www.wikidata.org/entity/Q1001991,40.39164343238081,-3.717140510927299,914 690 895,cclazaro@madrid.es,CentrosCulturales
1954,Centro Cultural Fernando de los Rios (Latina),,Informacion general en el telefono: 91 719 89 93. Correo electronico: ccfrios@madrid.es  Informacion sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Tramites cursos y talleres Ayuntamiento de Madrid.,"Horario de verano: durante los meses de julio, agosto y septiembre, de 9 a 21 horas. Cerrado sabados y domingos.   Horarios de apertura:  Lunes a Viernes de 9 a 21:30 horas. Sabados de 9 a 13:30 horas y de 16 a 20:30 horas  Horarios de atencion al publico:  Lunes a Jueves: de 8:30 a 14 horas y de 16 a 18:30 h. Viernes de 8:30 a 14:30 horas.",Sin metro,,"Lineas: 25, 31 y 138.",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE DE CAMARENA,,10,Latina,https://www.wikidata.org/entity/Q794954,40.39552931214334,-3.7562667464373223,917 198 930 / 917 198 931 / 917 198 993,ccfrios@madrid.es,CentrosCulturales
1944,Centro Cultural Francisco Fatou (Villa de Vallecas),,,"Lunes a viernes, de 9 a 14 y de 16 a 20:30 horas.  Agosto, lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Villa de Vallecas,https://www.wikidata.org/entity/Q630441,"54, 58, 103, 142, 143, 130, T31",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE MANUEL VELEZ,,10,Villa de Vallecas,https://www.wikidata.org/entity/Q1947988,40.379584618162156,-3.623110349262379,913 806 620,ccfranciscofatou@madrid.es,CentrosCulturales
1921,Centro Cultural Galileo (Chamberi),,,"Lunes a domingo, de 8 a 21 horas. Abierto todos los dias, excepto 1 y 6 enero, 1 y 2 mayo, 15 agosto, 12 octubre y 25 diciembre.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Quevedo,https://www.wikidata.org/entity/Q747162,"2, 16, 61  ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30181e79ee71c010VgnVCM1000000b205a0aRCRD,calle de Galileo,https://www.wikidata.org/entity/Q27031392,39,Chamberi,https://www.wikidata.org/entity/Q1763370,40.43371190964793,-3.7104543597957758,915 913 901,ccgalileo@madrid.es,CentrosCulturales
70243,Centro Cultural Gloria Fuertes (Barajas),,,"De lunes a viernes, de 9 a 14 y de 15 a 17 horas.    Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Sin metro,,"105, 112, 115, 151, 166",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e5068540e41c010VgnVCM2000000c205a0aRCRD,avenida de Logrono,https://www.wikidata.org/entity/Q118638509,179,Barajas,https://www.wikidata.org/entity/Q807230,40.4606308732073,-3.59366944150524,913 120 243,ccgloriafuertes@madrid.es,CentrosCulturales
1930,Centro Cultural Hortaleza,,,"De lunes a viernes, de 9 a 14 horas y de 17 a 19 horas. Julio y agosto y semana de San Isidro, de lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Parque de Santa Maria,https://www.wikidata.org/entity/Q2481002,"107, 9",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=86381e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE DE SANTA VIRGILIA,,15,Hortaleza,https://www.wikidata.org/entity/Q1928529,40.476859845869534,-3.6420353342333227,913 821 493,cchortaleza@madrid.es,CentrosCulturales
1929,Centro Cultural Huerta de la Salud (Hortaleza),,,"El centro permanecera abierto durante la celebracion de las actividades que se programen.  Silo de Hortaleza (Sala de exposiciones): de lunes a sabado, de 10 a 14 y de 17 a 21 horas.",San Lorenzo,https://www.wikidata.org/entity/Q2481355,"9, 72, 87, 107",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc581e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE MAR DE LAS ANTILLAS,,8,Hortaleza,https://www.wikidata.org/entity/Q1928529,40.47484735634347,-3.645543866498554,913 825 309 / 914 802 781 (Silo de Hortaleza),cultuhortaleza@madrid.es,CentrosCulturales
6017747,Centro Cultural Jose Luis Lopez Vazquez (San Blas - Canillejas),,,"De lunes a jueves, de 9 a 14 y de 15 a 18 horas. Viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Sin metro,,"167, 77",Sin Renfe,PARTIALLY ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b790e37de110f210VgnVCM1000000b205a0aRCRD,CALLE FEBRERO,,4,San Blas-Canillejas,https://www.wikidata.org/entity/Q2001937,40.446826729909155,-3.5727382893523254,913 293 900,ccjllopezvazquez@madrid.es,CentrosCulturales
142944,Centro Cultural Jose Luis Sampedro (Latina),,Informacion general en el telefono: 91 526 78 20. Correo electronico: cclucero@madrid.es  Informacion sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Tramites cursos y talleres Ayuntamiento de Madrid.,"Horario de verano:    Cerrado del 1 al 27 de agosto.   Julio, agosto y septiembre, de 9 a 21 horas. Cerrado sabados y domingos.   Horarios de apertura y atencion al publico:  Lunes a Viernes de 9 a 21:30 horas. Sabados de 9 a 13:30 horas.",Lucero,https://www.wikidata.org/entity/Q957660,Linea 55. ,Linea C 5. Estacion: Laguna.,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD,CALLE CASTROSERNA,,4,Latina,https://www.wikidata.org/entity/Q794954,40.40159394334669,-3.749110841406562,915 267 820 / 915 267 821,cclucero@madrid.es,CentrosCulturales
1919,Centro Cultural Juan Genoves (Moncloa - Aravaca),,,De lunes a viernes de 9 a 15 y de 15:30 a 21:30 horas.   Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.,Sin metro,,"160, 163, 161.",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13153d0b5e71c010VgnVCM1000000b205a0aRCRD,TRAVESIA CANO,,5,Moncloa-Aravaca,https://www.wikidata.org/entity/Q2017682,40.45866721398762,-3.786129575145957,917 400 882 / 914 801 186 / 917 401 596,ccjgenoves@madrid.es,CentrosCulturales
1913,Centro Cultural Juan Gris (Moncloa - Aravaca),,,"Lunes, martes y miercoles, de 10 a 13:30 horas. Lunes y martes, de 16 a 17:30 horas.  Semana San Isidro: de lunes de viernes, de 10 a 13:30 horas.  Agosto cerrado.  Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Francos Rodriguez,https://www.wikidata.org/entity/Q774677,"126, 127, 132, 64, 128, 44.",Sin Renfe,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79a81e79ee71c010VgnVCM1000000b205a0aRCRD,"Calle de Francos Rodriguez, Madrid",https://www.wikidata.org/entity/Q26810988,100,Moncloa-Aravaca,https://www.wikidata.org/entity/Q2017682,40.457862962907384,-3.71225373746578,914 507 865,ccjuangris@madrid.es,CentrosCulturales
1911,Centro Cultural Julio Cortazar (Moncloa - Aravaca),,,"Lunes a viernes, de 9:30 a 13:30. Lunes a jueves de 17 a 19 horas.     Julio: Lunes a viernes de 9:30 a 13:30 y lunes a jueves de 17 a 18 horas.     Agosto: Lunes a viernes de 9:30 a 13:30.     Fuera de este horario el centro permanecera abierto durante la celebracion de las actividades que se programen.",Valdezarza,https://www.wikidata.org/entity/Q2482098,"127, 132, 126.",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cfc81e79ee71c010VgnVCM1000000b205a0aRCRD,"Calle de Antonio Machado, Madrid",https://www.wikidata.org/entity/Q28793893,20,Moncloa-Aravaca,https://www.wikidata.org/entity/Q2017682,40.46678159096302,-3.7195669111891703,913 734 375,ccjcortazar@madrid.es,CentrosCulturales
1917,Centro Cultural La Vaguada (Fuencarral - El Pardo),,,Secretaria: de lunes a jueves de 9 a 14 y de 16 a 19 horas.,Barrio del Pilar,https://www.wikidata.org/entity/Q2463533,"49 , 83 , 128 , 132 , 137",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=09691e79ee71c010VgnVCM1000000b205a0aRCRD,"Avenida de Monforte de Lemos, Madrid",https://www.wikidata.org/entity/Q52683954,38,Fuencarral-El Pardo,https://www.wikidata.org/entity/Q656196,40.47900813206291,-3.709138377702435,915 886 883,cclavaguada@madrid.es,CentrosCulturales
