PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,DIRECCION,NUM,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
11876732,Centro Cultural Clara del Rey - Museo ABC (Centro),,"De enero a junio y de octubre a diciembre:   Lunes a jueves, de 9 a 15 y de 16 a 18 horas. Viernes, de 9 a 15 horas.   Julio y septiembre y Semana de San Isidro:   Lunes a viernes, de 9 a 14 horas. Sábados, cerrado.   Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10), San Bernardo (líneas 2, 4)  Bus: 002, 3, 147, 001, 1, 2, 44, 133, 138, C1, 21, C03  Bicimad: Estación 13 (calle Conde Duque, 22)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8afb908d1825810VgnVCM1000001d4a900aRCRD,CALLE_AMANIEL,29,CENTRO,40.42741340671151,-3.7095381101739444,915 222 823,ccclararey@madrid.es,CentrosCulturales
80143,Centro Cultural Dotacional Integrado Arganzuela,,"De lunes a viernes, de 10 a 13 y de 17 a 18:30 horas.   Verano, de lunes a viernes, de 10 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Palos de la Frontera (línea 3)  Bus: 19, 247, 45, 47, 8, 86, 55, 6, E1, 59, 85  Bicimad: Estación 120 (calle Palos de la Frontera, 40)  Cercanías Renfe: Delicias (líneas C1, C7, C10, Regional)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9ea79262ef5d010VgnVCM1000000b205a0aRCRD,CALLE_CANARIAS,17,ARGANZUELA,40.40242416544921,-3.6954440062549017,915 063 610,cdiarganzuela@madrid.es,CentrosCulturales
5498725,Centro Cultural Eduardo Úrculo (Tetuán),,"Secretaría:   De lunes a jueves, de 9:30 a 13:30 y de 16:30 a 18 horas. Viernes, de 9:30 a 13:30 horas. Julio, solo mañanas. Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Ventilla (línea 9)  Bus: 177, 42","ACCESSIBLE,MAGNETIC_LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8f9338588355210VgnVCM1000000b205a0aRCRD,PLAZA_DONOSO,5,TETUAN,40.46900764611639,-3.697595691925329,917 337 249,cceurculo@madrid.es,CentrosCulturales
11979985,Centro Cultural El Plantío (Moncloa - Aravaca),,"De lunes a viernes, de 9 a 21 horas, excepto festivos, julio, agosto y septiembre.  Sábados, de 9 a 15 horas, excepto festivos, julio, agosto y septiembre.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",Bus: 163,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=45ef9eebdd647810VgnVCM2000001f4a900aRCRD,CALLE_JOSE LOMBANA IGLESIAS,4,MONCLOA-ARAVACA,40.47096731070447,-3.8245164150407103,,,CentrosCulturales
1939,Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),Consulte normas de acceso a los teatros en información relacionada.,"De lunes a viernes, de 9 a 13:45 y de 17 a 18:45 horas. Julio, de lunes a viernes de 9 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Bus: 102, 24    Cercanías Renfe: El Pozo (línea C2).",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD,AVENIDA_GLORIETAS,19,PUENTE_DE_VALLECAS,40.37381624358889,-3.6599325731670977,917 866 644,ccptioraimundo@madrid.es,CentrosCulturales
11848432,Centro Cultural Emilia Pardo Bazán (Salamanca),,"De lunes a viernes, de 9 a 21 horas, ininterrumpidamente. A partir de octubre, sábados y domingos, de 9 a 21 horas, ininterrrumpidamente. Festivos cerrado.","Metro: Colón (línea 4), Serrano (línea 4)   Bus:  21, 53, 14, 150, 27, 45, 5, 37, C03, 119, 51, 74, 9  Bicimad: Estación 93 (calle Goya 1)  Aparcamiento: Colón (2), Plaza de Colón",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc8d531521b74810VgnVCM1000001d4a900aRCRD,CALLE_GOYA,1,SALAMANCA,40.42585800515975,-3.689601594290468,913 052 081,ccemiliapardobazan@madrid.es,SalasEstudioLectura
1931,Centro Cultural Federico Chueca (Hortaleza),,"De lunes a viernes, de 9 a 14 y de 17 a 19 horas. Julio y agosto, cerrado. Semana de San Isidro, de lunes a viernes de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Bus: 72, 73, 9",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=90573d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_BENITA AVILA,17,HORTALEZA,40.46498334634005,-3.650568266584691,913 000 389,ccfchueca@madrid.es,CentrosCulturales
4703628,Centro Cultural Fernando Lázaro Carreter (Carabanchel),,"De lunes a jueves, de 10 a 13 y de 16:30 a 18 horas. viernes, de 10 a 13 horas. Julio, de lunes a viernes, de 10 a 13 horas.  Agosto y festivos, cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Marqués de Vadillo (línea 5), Plaza Elíptica (línea 6 y 11)  Bus: 116",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=340ed2d6fe9a6110VgnVCM1000000b205a0aRCRD,CALLE_VERDAD,29,CARABANCHEL,40.39164343238081,-3.717140510927299,914 690 895,cclazaro@madrid.es,CentrosCulturales
1954,Centro Cultural Fernando de los Ríos (Latina),Información general en el teléfono: 91 719 89 93. Correo electrónico: ccfrios@madrid.es  Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid. En la misma sede:   Biblioteca Pública Municipal de Aluche. Sala de Estudio Fernando de los Ríos de la Biblioteca.,"Horario de verano: durante los meses de julio, agosto y septiembre, de 9 a 21 horas. Cerrado sábados y domingos.   Horarios de apertura:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas y de 16 a 20:30 horas  Horarios de atención al público:  Lunes a Jueves: de 8:30 a 14 horas y de 16 a 18:30 h. Viernes de 8:30 a 14:30 horas.","Autobuses de la EMT. Líneas: 25, 31 y 138.",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_CAMARENA,10,LATINA,40.39552931214334,-3.7562667464373223,917 198 930 / 917 198 931 / 917 198 993,ccfrios@madrid.es,CentrosCulturales
1944,Centro Cultural Francisco Fatou (Villa de Vallecas),,"Lunes a viernes, de 9 a 14 y de 16 a 20:30 horas.  Agosto, lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Villa de Vallecas (línea 1)  Bus: 54, 58, 103, 142, 143, 130, T31",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_MANUEL VELEZ,10,VILLA_DE_VALLECAS,40.379584618162156,-3.623110349262379,913 806 620,ccfranciscofatou@madrid.es,CentrosCulturales
1921,Centro Cultural Galileo (Chamberí),,"Lunes a domingo, de 8 a 21 horas. Abierto todos los días, excepto 1 y 6 enero, 1 y 2 mayo, 15 agosto, 12 octubre y 25 diciembre.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Quevedo (línea 2)  Bus: 2, 16, 61  Bicimad: Estación 127 (calle Fernando el Católico, 19)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30181e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE_GALILEO,39,CHAMBERI,40.43371190964793,-3.7104543597957758,915 913 901,ccgalileo@madrid.es,CentrosCulturales
70243,Centro Cultural Gloria Fuertes (Barajas),,"De lunes a viernes, de 9 a 14 y de 15 a 17 horas.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Bus: 105, 112, 115, 151, 166",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e5068540e41c010VgnVCM2000000c205a0aRCRD,AVENIDA_LOGRO&amp;Ntilde;O,179,BARAJAS,40.4606308732073,-3.59366944150524,913 120 243,ccgloriafuertes@madrid.es,CentrosCulturales
1930,Centro Cultural Hortaleza,,"De lunes a viernes, de 9 a 14 horas y de 17 a 19 horas. Julio y agosto y semana de San Isidro, de lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Parque de Santa María (línea 4)  Bus: 107, 9",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=86381e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE_SANTA VIRGILIA,15,HORTALEZA,40.476859845869534,-3.6420353342333227,913 821 493,cchortaleza@madrid.es,CentrosCulturales
1929,Centro Cultural Huerta de la Salud (Hortaleza),,"El centro permanecerá abierto durante la celebración de las actividades que se programen.  Silo de Hortaleza (Sala de exposiciones): de lunes a sábado, de 10 a 14 y de 17 a 21 horas.","Metro: San Lorenzo (línea 4)  Bus: 9, 72, 87, 107",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc581e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE_MAR DE LAS ANTILLAS,8,HORTALEZA,40.47484735634347,-3.645543866498554,913 825 309 / 914 802 781 (Silo de Hortaleza),cultuhortaleza@madrid.es,CentrosCulturales
6017747,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),,"De lunes a jueves, de 9 a 14 y de 15 a 18 horas. Viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Bus: 167, 77",PARTIALLY_ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b790e37de110f210VgnVCM1000000b205a0aRCRD,CALLE_FEBRERO,4,SAN_BLAS-CANILLEJAS,40.446826729909155,-3.5727382893523254,913 293 900,ccjllopezvazquez@madrid.es,CentrosCulturales
142944,Centro Cultural José Luis Sampedro (Latina),Información general en el teléfono: 91 526 78 20. Correo electrónico: cclucero@madrid.es  Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid. En la misma sede está ubicada la Sala de Estudio.,"Horario de verano:    Cerrado del 1 al 27 de agosto.   Julio, agosto y septiembre, de 9 a 21 horas. Cerrado sábados y domingos.   Horarios de apertura y atención al público:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas.",Metro de Madrid. Línea 6. Estaciones: Lucero y Laguna. Autobuses de la EMT. Línea 55. Cercanías RENFE: Línea C 5. Estación: Laguna.,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD,CALLE_CASTROSERNA,4,LATINA,40.40159394334669,-3.749110841406562,915 267 820 / 915 267 821,cclucero@madrid.es,CentrosCulturales
1919,Centro Cultural Juan Genovés (Moncloa - Aravaca),,De lunes a viernes de 9 a 15 y de 15:30 a 21:30 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.,"Bus: 160, 163, 161.",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13153d0b5e71c010VgnVCM1000000b205a0aRCRD,TRAVESIA_CA&amp;Ntilde;O,5,MONCLOA-ARAVACA,40.45866721398762,-3.786129575145957,917 400 882 / 914 801 186 / 917 401 596,ccjgenoves@madrid.es,CentrosCulturales
1913,Centro Cultural Juan Gris (Moncloa - Aravaca),,"Lunes, martes y miércoles, de 10 a 13:30 horas. Lunes y martes, de 16 a 17:30 horas.  Semana San Isidro: de lunes de viernes, de 10 a 13:30 horas.  Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Francos Rodríguez (línea 7).  Bus: 126, 127, 132, 64, 128, 44.",NOT_ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79a81e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE_FRANCOS RODRíGUEZ,100,MONCLOA-ARAVACA,40.457862962907384,-3.71225373746578,914 507 865,ccjuangris@madrid.es,CentrosCulturales
1911,Centro Cultural Julio Cortázar (Moncloa - Aravaca),,"Lunes a viernes, de 9:30 a 13:30. Lunes a jueves de 17 a 19 horas.     Julio: Lunes a viernes de 9:30 a 13:30 y lunes a jueves de 17 a 18 horas.     Agosto: Lunes a viernes de 9:30 a 13:30.     Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Valdezarza (línea 7) y Antonio Machado (línea 7).    Bus: 127, 132, 126.",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cfc81e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE_ANTONIO MACHADO,20,MONCLOA-ARAVACA,40.46678159096302,-3.7195669111891703,913 734 375,ccjcortazar@madrid.es,CentrosCulturales
1917,Centro Cultural La Vaguada (Fuencarral - El Pardo),,Secretaría: de lunes a jueves de 9 a 14 y de 16 a 19 horas.,"Metro: Barrio del Pilar (línea 9). Bus: 49 , 83 , 128 , 132 , 137",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=09691e79ee71c010VgnVCM1000000b205a0aRCRD,AVENIDA_MONFORTE DE LEMOS,38,FUENCARRAL-EL_PARDO,40.47900813206291,-3.709138377702435,915 886 883,cclavaguada@madrid.es,CentrosCulturales
4606802,Centro Cultural Las Californias (Retiro),,De 9 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.,"Metro: Puente de Vallecas (línea 1) , Mendez Álvaro (línea 6)  Bus: 113, 148  Cercanías RENFE: Mendez Álvaro Estación Sur (líneas C1, C5, C7, C10, Regional)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a6c875993dc63110VgnVCM1000000b205a0aRCRD,CALLE_LUIS PEIDRO,2,RETIRO,40.397021560779024,-3.6738766514153163,915 016 942,cclascalifornias@madrid.es,CentrosCulturales
1918,Centro Cultural Lavapiés (Centro),,"De lunes a jueves, de 9 a 14 y de 16 a 18 horas. Viernes, de 9 a 14 horas.   Julio y septiembre, de 9 a 14 horas.   Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","Metro: Lavapiés (línea 3).  Bus: M1  Bicimad: Estación 43 (calle Lavapiés, 34-36) / Estación 53 (calle Valencia, 1)",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f891e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE_OLIVAR,46,CENTRO,40.40967898937472,-3.7015569791252063,915 060 712,cclavapies@madrid.es,CentrosCulturales
