PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
10140094;"Pequeño Teatro Gran Vía";"";"";"";"Metro: Plaza de España (líneas 3 y 10), Santo Domingo (línea 2).  Bus: 148, 3, 46, 74, 75, 133, 44, 147, 001, 1, 2, 25, 146.  Bicimad: Estaciones 16 (calle San Bernardo, 22), 116b (calle Princesa, 5).  Aparcamientos: Isabel la Católica (98) (calle Isabel la Católica), Mostenses (50) (plaza Mostenses y calle Ricardo León).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=50efbe5ec3747510VgnVCM1000001d4a900aRCRD";"GRAN VIA";"CALLE";"V";"66";"";"";"";"";"MADRID";"MADRID";"28013";"5";"UNIVERSIDAD";"1";"CENTRO";"439858";"4474883";"40.422413433319086";"-3.7089446226591725";"915 415 569";"";"";"/contenido/entidadesYorganismos/Teatros"; 
11990372;"Real Teatro de Retiro. Centro Cultural Daoíz y Velarde";"El Área de Cultura, Turismo y Deporte del Ayuntamiento de Madrid ha habilitado un nuevo espacio escénico en el Centro Cultural Daoíz y Velarde, ubicado en el distrito de Retiro, que amplia la descentralización de la cultura de la capital. Para ello, ha realizado una rehabilitación integral del antiguo cuartel de artillería de Daoíz y Velarde, construido a finales del siglo XIX, que ha buscado el equilibrio entre la arquitectura original y las funciones actuales. El Ayuntamiento de Madrid y el Teatro Real han firmado un acuerdo que permite poner en marcha un nuevo proyecto que nace con el objetivo de convertirse en un espacio cultural y artístico de referencia para niños y jóvenes en la ciudad, en el que ofrecer un acercamiento y aprendizaje en el ámbito de las artes escénicas, incluyendo ópera, danza, teatro de texto, títeres, cuentos musicales, talleres y otras actividades para toda la familia. El edificio, de 7.700 m2 distribuidos en cuatro plantas, cuenta con un gran espacio para actos culturales y exposiciones, una Sala Principal con un amplio escenario y capacidad para 330 butacas, una Sala Polivalente (con 72 butacas en graderío retráctil y espacio escénico versátil), salas de ensayos, talleres y otras dependencias auxiliares. Con la puesta en marcha de este nuevo centro municipal, el Área de Cultura, Turismo y Deporte refuerza su compromiso con el tejido cultural madrileño, incrementa la oferta cultural en los distritos e incorpora un séptimo espacio escénico en su red teatral. El Real Teatro de Retiro es el proyecto artístico del Teatro Real dedicado al público infantil, juvenil y familiar. Su programación incluye espectáculos de ópera, teatro, títeres y danza para niños y jóvenes así como conciertos, cine, cuentos musicales y talleres dirigidos a grandes y pequeños. Los espectáculos se programan también para colegios con funciones escolares en horario de mañana. El espacio acoge los proyectos educativos y sociales LÓVA (La Ópera, un Vehículo de Aprendizaje) y AMI (Agrupación Musical Inclusiva). El Real Teatro de Retiro surge de la colaboración entre el Teatro Real y el Ayuntamiento de Madrid, promoviendo el acceso a la cultura y grandes experiencias para vivir en familia.";"Horarios de atención y taquilla:   De miércoles a sábado y domingos con función: De 10 a 14 y de 16 a 19:30 horas. Domingos sin función: De 10 a 14 horas.   Funciones para colegios: Jueves y viernes por la mañana, para más información escribir a: realjunior@teatroreal.es.";"Accesibilidad: 6 asientos para personas con movilidad reducida.   Canales de venta: Online, taquillas y telefónica.  Aforo: Sala Principal 330 butacas, Sala Pacífico 120 butacas.";"Metro: Pacífico (líneas 1 y 6).  Bus: 24, 37, 54, 57, 141.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f38753c30397810VgnVCM1000001d4a900aRCRD";"DAOIZ Y VELARDE";"PLAZA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28007";"1";"PACIFICO";"3";"RETIRO";"442535";"4472575";"40.40180567689773";"-3.6771876805396864";"900 244 848";"";"";"/contenido/entidadesYorganismos/Teatros"; 
124469;"Réplika Teatro";"";"";"";"Metro: Guzmán el Bueno (líneas 6 y 7).  Bus: 45, C2, F, C1.  Bicimad: Estación 256 (calle Beatriz de Bobadilla, 2).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4d86051c8d91f010VgnVCM1000000b205a0aRCRD";"EXPLANADA";"CALLE";"V";"14";"";"";"";"";"MADRID";"MADRID";"28040";"3";"CIUDAD UNIVERSITARIA";"9";"MONCLOA-ARAVACA";"439637";"4477750";"40.44821880668578";"-3.7118246776358195";"915 350 570";"";"teatro@replikateatro.com";"/contenido/entidadesYorganismos/Teatros"; 
10035099;"Sala Arapiles 16";"";"";"";"Metro: Quevedo (línea 2).  Bus: 16, 61.  Bicimad: Estación 127 (calle Fernando el Católico, 127).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9827c620420f3510VgnVCM1000001d4a900aRCRD";"ARAPILES";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28015";"2";"ARAPILES";"7";"CHAMBERI";"439935";"4476072";"40.43312718155775";"-3.708159572592643";"914 678 525";"";"arapiles16@unir.net";"/contenido/entidadesYorganismos/Teatros"; 
7875358;"Sala de Teatro La Escalera de Jacob";"";"";"";"Metro: Lavapies (línea 3).  Bus: M1.  Bicimad: Estaciones 43 (calle Lavapiés, 34) y 53 (calle Valencia, 1).  Aparcamiento: Garaje Amparo (75), calle Amparo; Agustín Lara (73), plaza Arturo Barea.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=824ac6f83ef4b410VgnVCM1000000b205a0aRCRD";"LAVAPIES";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28012";"2";"EMBAJADORES";"1";"CENTRO";"440367";"4473650";"40.411337615129355";"-3.7028377820426464";"625 721 745";"";"info@laescaleradejacob.es";"/contenido/entidadesYorganismos/Teatros"; 
7093521;"Sala de teatro. La Usina";"";"";"";"Metro: Embajadores (línea 3).  Bus: 148, 60, 78, 55, 59, 6, 85.  Cercanías Renfe: Embajadores (línea C5).  Bicimad: Estación 121 (paseo Santa María de la Cabeza, 58).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f408e01a3201410VgnVCM2000000c205a0aRCRD";"PALOS DE LA FRONTERA";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28012";"6";"PALOS DE LA FRONTERA";"2";"ARGANZUELA";"440590";"4472681";"40.40262694793048";"-3.7001185274328563";"914 684 754";"";"info@lausina.es";"/contenido/entidadesYorganismos/Teatros"; 
7246699;"Sala Nave 73";"";"";"";"Metro: Embajadores (línea 3), Palos de la frontera (línea 3).  Bus: 59, 6, 85, 148, 60, 78, 55.  Cercanías Renfe: Embajadores (línea C5).  Bicimad: Estación 121 (paseo de Santa María de la Cabeza, 58).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5d5b051dbc673410VgnVCM2000000c205a0aRCRD";"PALOS DE LA FRONTERA";"CALLE";"V";"5";"";"";"";"";"MADRID";"MADRID";"28012";"6";"PALOS DE LA FRONTERA";"2";"ARGANZUELA";"440712";"4472741";"40.40317027498394";"-3.698690325735142";"917 049 583";"";"info@nave73.es";"/contenido/entidadesYorganismos/Teatros"; 
7093690;"Sala Teatro Azarte";"";"";"";"Metro: Chueca (línea 5), Gran Vía (líneas 1 y 5).  Bus: 3.  Bicimad: Estaciones 58 (calle Augusto Figueroa, 33) y 18 (plaza de Pedro Zerolo,1).  Aparcamientos: Plaza Pedro Zerolo (71), Mercado San Antón (94) Libertad.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e2708ff0d6201410VgnVCM2000000c205a0aRCRD";"SAN MARCOS";"CALLE";"V";"19";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"440756";"4474766";"40.421416728805845";"-3.698351923407877";"915 226 768";"";"info@azarte.com";"/contenido/entidadesYorganismos/Teatros"; 
1983;"Sala Teatro Exlímite";"";"";"";"Bus  : 6, 60, 81.   Bicimad: Estaciones 387 (calle Isabelita Usera, 44), 391 (calle Rafaela Ybarra, 22).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a2a8c7c0f91f010VgnVCM1000000b205a0aRCRD";"PRIMITIVA GA&amp;Ntilde;AN";"CALLE";"V";"5";"";"";"";"";"MADRID";"MADRID";"28026";"7";"PRADOLONGO";"12";"USERA";"439798";"4470277";"40.380914636125546";"-3.7092213102338736";"";"";"exlimite@exlimite.com";"/contenido/entidadesYorganismos/Teatros"; 
10511899;"Soho Club Teatro";"";"";"";"Metro: Plaza de España (líneas 3 y 10).  Bus: 148, 25, 3, 39, 46, 75, 138, 74, C2, 001, 1, 2, 133, 44.  Bicimad: Estaciones 116 a y b (calle Princesa, 5).  Aparcamiento: Plaza de España (53).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2fa0fef1bacee510VgnVCM1000001d4a900aRCRD";"ESPAÑA";"PLAZA";"V";"6";"";"";"";"";"MADRID";"MADRID";"28008";"1";"PALACIO";"1";"CENTRO";"439605";"4474904";"40.4225784750317";"-3.711936020558947";"615 519 427";"";"info@teatrosohoclub.com";"/contenido/entidadesYorganismos/Teatros"; 
10511843;"Sojo Laboratorio Teatral.";"";"";"";"Metro: Pirámides (línea 5), Puerta de Toledo (línea 5).  Bus: 17,18, 23, 34, 35, 36, 41, 62, 116, 118, 119, C03, N12, N15, N16, N26.  Cercanías Renfe: Pirámides (líneas C1 y C10).  Bicimad: Estación 162 (paseo de los Olmos, 28).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3689fca35ccee510VgnVCM2000001f4a900aRCRD";"SAN ISIDORO DE SEVILLA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28005";"2";"ACACIAS";"2";"ARGANZUELA";"439569";"4472902";"40.404543298550344";"-3.7121651506836235";"697 943 676";"";"sojoteatro@gmail.com";"/contenido/entidadesYorganismos/Teatros"; 
11083891;"Tablao Flamenco 1911";"";"";"";"Metro: Sol (líneas 1, 2 y 3), Tirso de Molina (línea 1), Antón Martín (línea 1).  Bus: 002, M1.  Cercanías Renfe: Sol (líneas C3 y C4).  Bicimad: Estaciones 52 (plaza de Santa Ana, 10), 34 (plaza de Jacinto Benavente), 33 (calle Carretas, 8).  Aparcamientos: Plaza de Santa (77), plaza Jacinto Benavente (15).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fd89976f4f3fe610VgnVCM2000001f4a900aRCRD";"SANTA ANA";"PLAZA";"V";"15";"";"";"";"";"MADRID";"MADRID";"28012";"3";"CORTES";"1";"CENTRO";"440490";"4474047";"40.414922971596944";"-3.701424270015707";"910 112 233";"";"reservas@tablaoflamenco1911.com";"/contenido/entidadesYorganismos/Teatros"; 
10187413;"Tablao Flamenco Café Ziryab";"";"";"";"Metro: Acacias (línea 5), Embajadores (línea 3), Pirámides (línea 5).  Bus: 62.  Cercanías Renfe: Pirámides (líneas C1 y C10), Embajadores (línea C5).  Bicimad: Estaciones 170 (paseo de la Esperanza, 21) y 163 (paseo de la Esperanza, 2).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=504212e1c4d48510VgnVCM2000001f4a900aRCRD";"ESPERANZA";"PASEO";"V";"17";"";"";"";"";"MADRID";"MADRID";"28005";"2";"ACACIAS";"2";"ARGANZUELA";"440164";"4472643";"40.40224798842407";"-3.7051358275837947";"618 103 803";"";"anja@cafeziryab.com";"/contenido/entidadesYorganismos/Teatros"; 
10187763;"Tablao Flamenco Cardamomo";"";"";"";"Metro: Sevilla (línea 2), Antón Martín (línea 1), Sol (líneas 1, 2 y 3).  Bus: 002, M1, 51.  Cercanías Renfe: Sol (líneas C3 y C4).  Bicimad: Estaciones 52 (plaza Santa Ana, 10), 28 (calle Alcalá, 27).  Aparcamiento: Plaza de Santa Ana (77); Sevilla (41), calle Sevilla y calle Alcalá; Hub de Movilidad Canalejas 360 (1239), calle Alcalá, 17.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1657b096d9d48510VgnVCM2000001f4a900aRCRD";"ECHEGARAY";"CALLE";"V";"15";"";"";"";"";"MADRID";"MADRID";"28014";"3";"CORTES";"1";"CENTRO";"440650";"4474106";"40.41546754063365";"-3.6995403937914704";"918 051 038";"";"reservas@cardamomo.com";"/contenido/entidadesYorganismos/Teatros"; 
10187520;"Tablao Flamenco Corral de la Morería";"";"";"";"Metro: La Latina (línea 5).  Bus: 148, 3, 31, 50, 65.  Bicimad: Estaciones 166 (calle Segovia, 26), 37 (plaza de San Francisco, 5), 38 (carrera de San Francisco, 1).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d23712e1c4d48510VgnVCM2000001f4a900aRCRD";"MORERIA";"CALLE";"V";"17";"";"";"";"";"MADRID";"MADRID";"28005";"1";"PALACIO";"1";"CENTRO";"439399";"4473810";"40.412712789880366";"-3.7142548150063295";"913 651 137";"";"info@corraldelamoreria.com";"/contenido/entidadesYorganismos/Teatros"; 
10037667;"Tablao flamenco de la Villa";"";"";"";"Metro: Santo Domingo (línea 2), Callao (líneas 3 y 5), Ópera (líneas 2, 5 y Ramal), Plaza de España (líneas 3 y 10).  Bus: 44, 133.  Bicimad: Estaciónes 30 (cale Pavía, 6) y 23 (plaza de Santo Domingo, 1).  Aparcamiento: Calle Isabel la Católica (98).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=899732e49e404510VgnVCM2000001f4a900aRCRD";"TORIJA";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28013";"1";"PALACIO";"1";"CENTRO";"439731";"4474700";"40.420747202885515";"-3.710428523676321";"912 042 428";"";"info@tablaodelavilla.com";"/contenido/entidadesYorganismos/Teatros"; 
10187560;"Tablao Flamenco de Leones";"";"";"";"Metro: Retiro (línea 2).  Bus: 1, 146, 15, 2, 20, 51, 52, 74, 9, 28, 19.B  Cercanías Renfe: Recoletos (líneas C1, C2, C7 y C10).  Bicimad: Estaciones 60 (plaza de la Independencia, 6), 107 (calle Serrano, 8).  Aparcamiento: Serrano III (40), calle Serrano entre Jorge Juan y plaza de la Independencia.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=be49b096d9d48510VgnVCM2000001f4a900aRCRD";"INDEPENDENCIA";"PLAZA";"V";"4";"1";"";"";"";"MADRID";"MADRID";"28001";"1";"RECOLETOS";"4";"SALAMANCA";"441544";"4474675";"40.42065971465086";"-3.6890553146620775";"662 299 923";"";"info@flamencodeleones.es";"/contenido/entidadesYorganismos/Teatros"; 
