PK,NOMBRE,same_as_wikidata_museum,DESCRIPCION-ENTIDAD,HORARIO,METRO,same_as_wikidata_metro,BUS,RENFE,ACCESIBILIDAD,CONTENT-URL,DIRECCION,same_as_wikidata_direccion,NUM,DISTRITO,same_as_wikidata_distrito,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
2067,Museo Africano Misioneros Combonianos,,,Grupos con cita previa telefonica o en la su web : de lunes a viernes de 9:30 a 13:30 horas.  Individuales: Visitas guiadas sin cita previa los domingos a las 11:30 horas.,Sin metro,,"11, 70, 114, 122, 115, 200.",Sin Renfe,NO INFORMATION,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ab8ef4d7f71c010VgnVCM1000000b205a0aRCRD,calle de Arturo Soria,https://www.wikidata.org/entity/Q8255504,101,Ciudad Lineal,https://wikidata.org/entity/Q1763694,40.44946738556641,-3.651489872602189,914 152 412,Sin email,Museos
2050,National Archaeological Museum,https://www.wikidata.org/entity/Q1352282,"Fundado en 1867, el MAN se inauguro en 1895 en su actual sede, en el Palacio de Biblioteca y Museos, edificio proyectado por Francisco Jareno y terminado por Antonio Ruiz de Salces. ","De martes a sabados de 9:30 a 20 horas. Domingos y festivos de 9:30 a 15 horas.   Cerrado   Todos los lunes del ano. 1 y 6 de enero, 1 de mayo, 9 de noviembre, 24, 25 y 31 de diciembre.  Mas informacion horarios.",Serrano,https://www.wikidata.org/entity/Q2481179,"1, 9, 19, 51, 74  ","Recoletos (linea C1, C2, C7, C10 y Regional)   ","ACCESSIBLE,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fd8ef4d7f71c010VgnVCM1000000b205a0aRCRD,Serrano Street,https://www.wikidata.org/entity/Q5740879,13,Salamanca,https://wikidata.org/entity/Q1773521,40.4232789604228,-3.6884121235090532,915 777 912,Sin email,Museos
2072,Museo Casa de la Moneda,https://www.wikidata.org/entity/Q39072661,,"De martes a viernes ininterrumpidamente de 10 a 17:30. Sabados, domingos y festivos de 10 a 14:15 horas. Cerrado los lunes (incluidos festivos), y los dias 1 y 6 de enero; 1 de mayo; 24, 25 y 31 de diciembre.",O'Donnell,https://www.wikidata.org/entity/Q2479913,"143, 156, 2, 30, 56, 71, C2, 28, 203.    ",Sin Renfe,"ACCESSIBLE,SIGN LANGUAGE",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12f8ef4d7f71c010VgnVCM1000000b205a0aRCRD,"Calle del Doctor Esquerdo, Madrid",https://www.wikidata.org/entity/Q5741005,36,Salamanca,https://wikidata.org/entity/Q1773521,40.42260021542579,-3.669139860245996,915 666 544,Sin email,Museos
4112,Museum Cerralbo,https://www.wikidata.org/entity/Q976019,"Este Palacio, construido entre 1883 y 1893, fue concebido como vivienda y como museo para sede de las obras de arte reunidas por los Marqueses de Cerralbo y sus hijos, los Marqueses de Villa Huerta, durante los numerosos viajes que realizaron por Espana y Europa. ","De martes a sabado de 9:30 a 15 horas. Jueves, apertura extraordinaria por la tarde, de 17 a 20 horas, excepto festivos. Entrada gratuita. Domingos y festivos de 10 a 15 horas. Domingos, entrada gratuita para todo el publico. Cerrado: todos los lunes, 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre, una fiesta local.",Estacion de Plaza de Espana (Metro de Madrid),https://www.wikidata.org/entity/Q776249,"62, 74  ","Principe Pio (lineas C1, C7 y C10)   ","PARTIALLY ACCESSIBLE,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4efb0c40971c010VgnVCM1000000b205a0aRCRD,calle de Ventura Rodriguez,https://www.wikidata.org/entity/Q28016771,17,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,40.423779252051425,-3.7145996063573756,915 473 646 / 915 473 647,museo.cerralbo@cultura.gob.es,Museos
10091450,Empresa Municipal de Transportes de Madrid Museum,https://www.wikidata.org/entity/Q117459440,"El Museo de la EMT se ha convertido en realidad tras una decada de duro trabajo de recuperacion, restauracion y reparacion del patrimonio historico de la Empresa Municipal de Transportes de Madrid, especialmente, material movil, mobiliario, piezas mecanicas, maquinaria y otros elementos inherentes a la actividad de la EMT en sus 70 anos de historia.  Pagina web:  https://museo.emtmadrid.es/ ","Visitas (con cita previa)  Apertura estacional durante seis meses al ano: todos los sabados de abril, mayo, junio, julio, septiembre y octubre), a las 10, a las 11:30 y a las 13 horas. Por ser un centro de trabajo unicamente pueden realizarse de forma organizada, previamente concertadas y limitadas a un maximo de 40 personas por turno. Duracion: 60 minutos aproximadamente. Compra de entradas y reserva de horarios a traves de la web: https://entradasmuseo.emtmadrid.es/?lang=es-ES.",Begona,https://www.wikidata.org/entity/Q2482166,"66, 173, 174, 176, 191, 193, 194, 195, 196, 197, 712, 713, 714, 716, L171.",Sin Renfe,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d56ad05b2a255510VgnVCM2000001f4a900aRCRD,CALLE MAURICIO LEGENDRE,,40,Chamartin,https://wikidata.org/entity/Q1766348,40.480173612860305,-3.6831595451893273,914 068 810,Sin email,AyuntamientoMadrid/OrganismosEmpresasMunicipales
10237457,Museo Felix Canada,,"Una seleccion de mas de quinientas obras de arte de entre las cerca de mil de la donacion original, constituyen la Coleccion Permanente que se puede visitar en las salas del Museo Felix Canada de la Fundacion Gomez Pardo, adscrita a la Escuela Tecnica Superior de Ingenieros de Minas y Energia de la Universidad Politecnica de Madrid. Donada por el ingeniero de minas Doctor Felix Canada Guerrero a la Fundacion Gomez Pardo, reune una amplia representacion de trabajos de destacados artistas, pintores, escultores, ilustradores, grabadores, orfebres, ceramistas, etc. abarcando diferentes periodos desde el siglo XI hasta nuestros dias. ","Lunes, miercoles y viernes, de 10 a 13 horas. .",Rios Rosas,https://www.wikidata.org/entity/Q2479349,"45, 12, 149, 3, 37.   ",Sin Renfe,NO INFORMATION,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb22820a52799510VgnVCM1000001d4a900aRCRD,"Calle Alenza, Madrid",https://www.wikidata.org/entity/Q27313964,1,Chamberi,https://wikidata.org/entity/Q1763370,40.442581673356834,-3.700796192332983,914 417 921,museo@fgomezpardo.es,Museos
2074,Museo Geominero,https://www.wikidata.org/entity/Q13532751,"Los objetivos del Museo Geominero son conservar, investigar y difundir la riqueza y diversidad del patrimonio geologico, paleontologico y mineralogico a traves de las importantes colecciones de minerales, rocas y fosiles procedentes de todas las regiones espanolas y de antiguos territorios coloniales, asi como de yacimientos significados del registro mundial. ","De lunes a domingo y festivos de 9 a 14 horas. Cerrado los dias 1 y 6 de enero y 24, 25 y 31 de diciembre.",Rios Rosas,https://www.wikidata.org/entity/Q2479349,"45, 12, 149, 3, 37, 5.   ",Sin Renfe,NO INFORMATION,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ff0bef4d7f71c010VgnVCM1000000b205a0aRCRD,Calle de Rios Rosas,https://www.wikidata.org/entity/Q27267331,23,Chamberi,https://wikidata.org/entity/Q1763370,40.442047952073665,-3.699670468881422,913 495 759,m.geominero@igme.es,Museos
2075,Museo Historico Minero Don Felipe de Borbon y Grecia,https://www.wikidata.org/entity/Q53997723,Ubicado en la Escuela Tecnica Superior de Ingenieros de Minas de Madrid ,Consultar.,Rios Rosas,https://www.wikidata.org/entity/Q2479349,"3, 12, 37, 45, 149   ",Sin Renfe,NO INFORMATION,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=822bef4d7f71c010VgnVCM1000000b205a0aRCRD,Calle de Rios Rosas,https://www.wikidata.org/entity/Q27267331,21,Chamberi,https://wikidata.org/entity/Q1763370,40.44209227424258,-3.7003734646151534,910 676 304,Sin email,Museos
18176,Museo ICO,https://www.wikidata.org/entity/Q60829823,,"De martes a sabados: de 11 a 20 horas.   Domingos y festivos: de 10 a 14 horas.    Cerrado: Todos los lunes del ano.  Horarios especiales: 24 y 31 de diciembre de 10 a 14 horas. 1 de enero, 1 de mayo y 25 de diciembre cerrado.",Sevilla,https://www.wikidata.org/entity/Q2056503,"53, 15, 20, 002, 51, M1, 150, 5   ",Sin Renfe,NO INFORMATION,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2886444a2951c010VgnVCM2000000c205a0aRCRD,Calle de Zorrilla,https://www.wikidata.org/entity/Q29352014,3,Centro,https://wikidata.org/entity/Q1763376,40.41676546905435,-3.6977222605477635,914 201 242,museoico@ico.es,Museos
6019032,Museo Los Canos del Peral. Estacion de Metro opera,,"A diez metros bajo la plaza de Isabel II, la estacion de Metro opera (L2, L5 y Ramal Norte) alberga la recreacion museistica de la historica fuente de los Canos del Peral. La visita nos permite conocer la fuente que recogia el agua de manantial junto al arroyo del Arenal durante la segunda mitad del sigloXVI, y que tenia en origen 34 metros de longitud; la galeria de abastecimiento en boveda de canon y la alcantarilla de la zona; y el acueducto que, salvando al barranco del arroyo del Arenal, surtio de agua al Palacio Real desde el siglo XVII hasta practicamente el siglo XX. ",Previa reserva en la pagina museosmetromadrid.es.  Viernes: de 16 a 20 horas. Sabados: de 10 a 14 horas y de 16 a 20 horas. Domingos: de 10 a 14 horas.,Opera,https://www.wikidata.org/entity/Q2736048,Sin buses,Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=435950262d50f210VgnVCM2000000c205a0aRCRD,Plaza de Isabel II,https://www.wikidata.org/entity/Q6079993,1,Centro,https://wikidata.org/entity/Q1763376,40.41775560280743,-3.709202070089538,644 169 531,info@museosmetromadrid.es,Museos
2053,Lazaro Galdiano Museum,https://www.wikidata.org/entity/Q386570,,"Martes a domingo, de 9:30 a 15 horas. Lunes cerrado.",Gregorio Maranon,https://www.wikidata.org/entity/Q2056442,"16, 19, 51, 9, 12, 61   ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d1aef4d7f71c010VgnVCM1000000b205a0aRCRD,Serrano Street,https://www.wikidata.org/entity/Q5740879,122,Salamanca,https://wikidata.org/entity/Q1773521,40.43675593917329,-3.6861820403705816,915 616 084,Sin email,MonumentosEdificiosArtisticos
5349304,Museo Nacional Centro de Arte Reina Sofia,https://www.wikidata.org/entity/Q460889,"Edificio Sabatini: calle Santa Isabel 52.  Edificio Nouvel (ampliacion): ronda de Atocha, esquina a plaza del Emperador Carlos V.  Espacios en el parque del Retiro: Palacio de Velazquez y Palacio de Cristal. ","Lunes y de miercoles a sabado, de 10 a 21 horas. Martes cerrado (incluso festivos). Domingos de 10 a 14:30 horas. Dias de cierre 1 y 6 de enero, 1 de mayo, 15 de mayo, 9 de noviembre, 24, 25 y 31 de diciembre.",Estacion del Arte,https://www.wikidata.org/entity/Q2016175,"27, 34, C03, C1, 26, 32, 6, 59, 85, E1, C2, 119, 36, 41, 001, 10, 14, 37, 45.  ","Atocha (lineas C1, C2, C3, C4, C4a, C4b, C5, C7, C8, C10).   ",ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=69d8275bad5a1210VgnVCM2000000c205a0aRCRD,calle de Santa Isabel,https://www.wikidata.org/entity/Q2882669,52,Centro,https://wikidata.org/entity/Q1763376,40.40864029339671,-3.6939504103293244,917 741 000,info@museoreinasofia.es,Museos
2099,Thyssen-Bornemisza Museum,https://www.wikidata.org/entity/Q176251,"El palacio donde se ubica la coleccion fue el antiguo palacio del duque de Villahermosa. Edificacion neoclasica. Posteriormente se adapta como entidad bancaria perdiento sus espacios interiores. Mas tarde, paso a formar parte de los edificios del Museo del Prado. Desde principios de los 90 alberga la Coleccion Thyssen. El museo ofrece un recorrido por la historia de la pintura europea desde sus inicios en el siglo XIII, hasta finales del siglo XX. Arquitecto: Antonio Lopez Aguado (1805 - 1806).  Adecuacion: Rafael Moneo (1989 - 1992).  Ampliacion: BOPBAA (1999 - 2004).","Colecciones permanentes:  lunes de 12 a 16 horas (acceso gratuito gracias al patrocinio de MasterCard). Martes a domingo de 10 a 19 horas.   Exposiciones temporales: consultar horario especifico en la web del museo.  Avisos y aperturas extraordinarias: los dias 1 de enero, 1 de mayo y 25 de diciembre el Museo permanecera cerrado. El 24 y el 31 de diciembre el horario de apertura del Museo sera de 10 a 15 horas.  El desalojo de las salas tendra lugar 5 minutos antes del cierre.",Banco de Espana,https://www.wikidata.org/entity/Q2481227,"001, 10, 14, 27, 34, 37, 45, C03.    ",Sin Renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b8079262ef5d010VgnVCM1000000b205a0aRCRD,Paseo del Prado,https://www.wikidata.org/entity/Q2079615,8,Centro,https://wikidata.org/entity/Q1763376,40.41601631762229,-3.694738346891257,917 911 370,cavthyssen@museothyssen.org,MonumentosEdificiosArtisticos
2057,Museo Nacional de Antropologia,https://www.wikidata.org/entity/Q2917041,"El Museo esta instalado en el edificio de estilo clasicista construido por el Marques de Cubas en 1875 por encargo del Doctor Gonzalez Velasco, fundador de la institucion. ","De martes a sabado de 9:30 a 20 horas. Domingos: de 10 a 15 horas. Cerrado todos los lunes del ano y los dias 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre y un festivo local. La taquilla se cerrara 15 minutos antes del cierre.",Estacion del Arte,https://www.wikidata.org/entity/Q2016175,"19, C1, 10, 14, 26, 32, 102, 37, 001, C2, 59, SE760, 203, 85, 141, 54, 57.  ","Atocha (lineas C1, C2, C3, C4, C4a, C4b, C5, C7, C8, C10 y Regional)   ","ACCESSIBLE,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=456079262ef5d010VgnVCM1000000b205a0aRCRD,Calle de Alfonso XII,https://www.wikidata.org/entity/Q5659170,68,Retiro,https://wikidata.org/entity/Q2002296,40.407887537677716,-3.688862923660605,915 306 418 / 915 395 995,antropologico@cultura.gob.es,Museos
2055,Museo Nacional de Artes Decorativas,https://www.wikidata.org/entity/Q5361303,"Inaugurado en 1912, su sede es un tipico palacete madrileno del ultimo tercio del siglo XIX. El museo posee muebles, ceramicas, vidrios, joyas, tejidos, arte oriental, y hasta 30 000 objetos distintos que a lo largo de la historia han servido para embellecer las casas, palacios y los monumentos de distintas culturas. El museo posee muestras como el Jarron de Sevres regalo de Napoleon III, la Cocina Valenciana del siglo XVIII compuesta por mas de 1500 azulejos de Manises, la Mesa de plata del siglo XVI o la coleccion de alfombras espanolas de los siglos XV al XVII. El Museo dispone de una rampa de acceso al edificio en la calle Montalban. Para su uso, es necesario avisar con antelacion al personal del Museo.El acceso a las diferentes plantas, puede realizarse mediante ascensor. Debido a las dimensiones del mismo, es necesario emplear en el las sillas de ruedas que el Museo pone a su disposicion, previa solicitud.","Martes a sabados de 9:30 a 15 horas. Domingo y festivos: de 10 a 15 horas. Jueves tarde de 17 a 20 horas (excepto julio y agosto).  Cerrado:  todos los lunes, 1 y 6 de enero, 1 y 15 de mayo, 24, 25 y 31 de diciembre.    La venta de entradas finalizara 30 minutos antes del cierre.",Banco de Espana,https://www.wikidata.org/entity/Q2481227,"19, E1, 203, 14, 27, 37, 45, C03, 1, 146, 15, 2, 20, 51, 52, 74, 9, 10, 34, 001   ",Sin Renfe,"PARTIALLY ACCESSIBLE,MAGNETIC LOOP",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=287079262ef5d010VgnVCM1000000b205a0aRCRD,"Calle de Montalban, Madrid",https://www.wikidata.org/entity/Q29903983,12,Retiro,https://wikidata.org/entity/Q2002296,40.417896616053866,-3.689754509701677,915 326 499,Sin email,MonumentosEdificiosArtisticos
