PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,distrito_wikidata,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
11876732,Centro Cultural Clara del Rey - Museo ABC (Centro),Not informed Value,"De enero a junio y de octubre a diciembre:   Lunes a jueves, de 9 a 15 y de 16 a 18 horas. Viernes, de 9 a 15 horas.   Julio y septiembre y Semana de San Isidro:   Lunes a viernes, de 9 a 14 horas. Sábados, cerrado.   Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8afb908d1825810VgnVCM1000001d4a900aRCRD,AMANIEL,CALLE,V,29,MADRID,MADRID,28015,5,UNIVERSIDAD,1,Centro,https://wikidata.org/entity/Q1763376,439813,4475439,40.42741340671151,-3.7095381101739444
80143,Centro Cultural Dotacional Integrado Arganzuela,Not informed Value,"De lunes a viernes, de 10 a 13 y de 17 a 18:30 horas.   Verano, de lunes a viernes, de 10 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9ea79262ef5d010VgnVCM1000000b205a0aRCRD,CANARIAS,CALLE,V,17,MADRID,MADRID,28045,6,PALOS DE LA FRONTERA,2,Arganzuela,https://wikidata.org/entity/Q2000929,440986,4472656,40.40242416544921,-3.6954440062549017
5498725,Centro Cultural Eduardo Úrculo (Tetuán),Not informed Value,"Secretaría:   De lunes a jueves, de 9:30 a 13:30 y de 16:30 a 18 horas. Viernes, de 9:30 a 13:30 horas. Julio, solo mañanas. Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8f9338588355210VgnVCM1000000b205a0aRCRD,DONOSO,PLAZA,V,5,MADRID,MADRID,28029,4,ALMENARA,6,Tetuán,https://wikidata.org/entity/Q1773540,440862,4480048,40.46900764611639,-3.697595691925329
11979985,Centro Cultural El Plantío (Moncloa - Aravaca),Not informed Value,"De lunes a viernes, de 9 a 21 horas, excepto festivos, julio, agosto y septiembre.  Sábados, de 9 a 15 horas, excepto festivos, julio, agosto y septiembre.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=45ef9eebdd647810VgnVCM2000001f4a900aRCRD,JOSE LOMBANA IGLESIAS,CALLE,V,4,MADRID,MADRID,28023,6,EL PLANTIO,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,430105,4480358,40.47096731070447,-3.8245164150407103
1939,Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),Not informed Value,"De lunes a viernes, de 9 a 13:45 y de 17 a 18:45 horas. Julio, de lunes a viernes de 9 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD,GLORIETAS,AVENIDA,V,19,MADRID,MADRID,28053,1,ENTREVIAS,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,443976,4469457,40.37381624358889,-3.6599325731670977
11848432,Centro Cultural Emilia Pardo Bazán (Salamanca),Not informed Value,"De lunes a viernes, de 9 a 21 horas, ininterrumpidamente. A partir de octubre, sábados y domingos, de 9 a 21 horas, ininterrrumpidamente. Festivos cerrado.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc8d531521b74810VgnVCM1000001d4a900aRCRD,GOYA,CALLE,V,1,MADRID,MADRID,28001,1,RECOLETOS,4,Salamanca,https://wikidata.org/entity/Q1773521,441502,4475253,40.42585800515975,-3.689601594290468
1931,Centro Cultural Federico Chueca (Hortaleza),Not informed Value,"De lunes a viernes, de 9 a 14 y de 17 a 19 horas. Julio y agosto, cerrado. Semana de San Isidro, de lunes a viernes de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=90573d0b5e71c010VgnVCM1000000b205a0aRCRD,BENITA AVILA,CALLE,V,17,MADRID,MADRID,28043,3,CANILLAS,16,Hortaleza,https://wikidata.org/entity/Q1928529,444847,4479572,40.46498334634005,-3.650568266584691
4703628,Centro Cultural Fernando Lázaro Carreter (Carabanchel),Not informed Value,"De lunes a jueves, de 10 a 13 y de 16:30 a 18 horas. viernes, de 10 a 13 horas. Julio, de lunes a viernes, de 10 a 13 horas.  Agosto y festivos, cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=340ed2d6fe9a6110VgnVCM1000000b205a0aRCRD,VERDAD,CALLE,V,29,MADRID,MADRID,28019,2,OPAÑEL,11,Carabanchel,https://wikidata.org/entity/Q1001991,439136,4471474,40.39164343238081,-3.717140510927299
1954,Centro Cultural Fernando de los Ríos (Latina),Información general en el teléfono: 91 719 89 93. Correo electrónico: ccfrios@madrid.es  Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid.,"Horario de verano: durante los meses de julio, agosto y septiembre, de 9 a 21 horas. Cerrado sábados y domingos.   Horarios de apertura:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas y de 16 a 20:30 horas  Horarios de atención al público:  Lunes a Jueves: de 8:30 a 14 horas y de 16 a 18:30 h. Viernes de 8:30 a 14:30 horas.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD,CAMARENA,CALLE,V,10,MADRID,MADRID,28047,4,ALUCHE,10,Latina,https://wikidata.org/entity/Q794954,435819,4471933,40.39552931214334,-3.7562667464373223
1944,Centro Cultural Francisco Fatou (Villa de Vallecas),Not informed Value,"Lunes a viernes, de 9 a 14 y de 16 a 20:30 horas.  Agosto, lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD,MANUEL VELEZ,CALLE,V,10,MADRID,MADRID,28031,1,CASCO H.VALLECAS,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,447107,4470075,40.379584618162156,-3.623110349262379
1921,Centro Cultural Galileo (Chamberí),Not informed Value,"Lunes a domingo, de 8 a 21 horas. Abierto todos los días, excepto 1 y 6 enero, 1 y 2 mayo, 15 agosto, 12 octubre y 25 diciembre.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30181e79ee71c010VgnVCM1000000b205a0aRCRD,GALILEO,CALLE,V,39,MADRID,MADRID,28015,2,ARAPILES,7,Chamberí,https://wikidata.org/entity/Q1763370,439741,4476139,40.43371190964793,-3.7104543597957758
70243,Centro Cultural Gloria Fuertes (Barajas),Not informed Value,"De lunes a viernes, de 9 a 14 y de 15 a 17 horas.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e5068540e41c010VgnVCM2000000c205a0aRCRD,LOGRO&amp;Ntilde;O,AVENIDA,V,179,MADRID,MADRID,28042,5,CORRALEJOS,21,Barajas,https://wikidata.org/entity/Q807230,449666,4479054,40.4606308732073,-3.59366944150524
1930,Centro Cultural Hortaleza,Not informed Value,"De lunes a viernes, de 9 a 14 horas y de 17 a 19 horas. Julio y agosto y semana de San Isidro, de lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=86381e79ee71c010VgnVCM1000000b205a0aRCRD,SANTA VIRGILIA,CALLE,V,15,MADRID,MADRID,28033,4,PINAR DEL REY,16,Hortaleza,https://wikidata.org/entity/Q1928529,445579,4480884,40.476859845869534,-3.6420353342333227
1929,Centro Cultural Huerta de la Salud (Hortaleza),Not informed Value,"El centro permanecerá abierto durante la celebración de las actividades que se programen.  Silo de Hortaleza (Sala de exposiciones): de lunes a sábado, de 10 a 14 y de 17 a 21 horas.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc581e79ee71c010VgnVCM1000000b205a0aRCRD,MAR DE LAS ANTILLAS,CALLE,V,8,MADRID,MADRID,28033,4,PINAR DEL REY,16,Hortaleza,https://wikidata.org/entity/Q1928529,445279,4480662,40.47484735634347,-3.645543866498554
6017747,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),Not informed Value,"De lunes a jueves, de 9 a 14 y de 15 a 18 horas. Viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b790e37de110f210VgnVCM1000000b205a0aRCRD,FEBRERO,CALLE,V,4,MADRID,MADRID,28022,6,REJAS,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,451431,4477510,40.446826729909155,-3.5727382893523254
142944,Centro Cultural José Luis Sampedro (Latina),Información general en el teléfono: 91 526 78 20. Correo electrónico: cclucero@madrid.es  Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid.,"Horario de verano:    Cerrado del 1 al 27 de agosto.   Julio, agosto y septiembre, de 9 a 21 horas. Cerrado sábados y domingos.   Horarios de apertura y atención al público:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD,CASTROSERNA,CALLE,V,4,MADRID,MADRID,28047,3,LUCERO,10,Latina,https://wikidata.org/entity/Q794954,436432,4472601,40.40159394334669,-3.749110841406562
1919,Centro Cultural Juan Genovés (Moncloa - Aravaca),Not informed Value,De lunes a viernes de 9 a 15 y de 15:30 a 21:30 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13153d0b5e71c010VgnVCM1000000b205a0aRCRD,CA&amp;Ntilde;O,TRAVESIA,V,5,MADRID,MADRID,28023,7,ARAVACA,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,433347,4478963,40.45866721398762,-3.786129575145957
1913,Centro Cultural Juan Gris (Moncloa - Aravaca),Not informed Value,"Lunes, martes y miércoles, de 10 a 13:30 horas. Lunes y martes, de 16 a 17:30 horas.  Semana San Isidro: de lunes de viernes, de 10 a 13:30 horas.  Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79a81e79ee71c010VgnVCM1000000b205a0aRCRD,FRANCOS RODRíGUEZ,CALLE,V,100,MADRID,MADRID,28039,4,VALDEZARZA,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439610,4478821,40.457862962907384,-3.71225373746578
1911,Centro Cultural Julio Cortázar (Moncloa - Aravaca),Not informed Value,"Lunes a viernes, de 9:30 a 13:30. Lunes a jueves de 17 a 19 horas.     Julio: Lunes a viernes de 9:30 a 13:30 y lunes a jueves de 17 a 18 horas.     Agosto: Lunes a viernes de 9:30 a 13:30.     Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cfc81e79ee71c010VgnVCM1000000b205a0aRCRD,ANTONIO MACHADO,CALLE,V,20,MADRID,MADRID,28035,4,VALDEZARZA,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,438998,4479816,40.46678159096302,-3.7195669111891703
1917,Centro Cultural La Vaguada (Fuencarral - El Pardo),Not informed Value,Secretaría: de lunes a jueves de 9 a 14 y de 16 a 19 horas.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=09691e79ee71c010VgnVCM1000000b205a0aRCRD,MONFORTE DE LEMOS,AVENIDA,V,38,MADRID,MADRID,28029,4,EL PILAR,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,439894,4481167,40.47900813206291,-3.709138377702435
4606802,Centro Cultural Las Californias (Retiro),Not informed Value,De 9 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a6c875993dc63110VgnVCM1000000b205a0aRCRD,LUIS PEIDRO,CALLE,V,2,MADRID,MADRID,28007,2,ADELFAS,3,Retiro,https://wikidata.org/entity/Q2002296,442812,4472042,40.397021560779024,-3.6738766514153163
1918,Centro Cultural Lavapiés (Centro),Not informed Value,"De lunes a jueves, de 9 a 14 y de 16 a 18 horas. Viernes, de 9 a 14 horas.   Julio y septiembre, de 9 a 14 horas.   Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f891e79ee71c010VgnVCM1000000b205a0aRCRD,OLIVAR,CALLE,V,46,MADRID,MADRID,28012,2,EMBAJADORES,1,Centro,https://wikidata.org/entity/Q1763376,440474,4473465,40.40967898937472,-3.7015569791252063
1938,Centro Cultural Lope de Vega (Puente de Vallecas),Not informed Value,"Lunes a viernes, de 9 a 13:45 horas y de 17 a 18:45 horas. Verano, de lunes a viernes de 8:30 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a273d0b5e71c010VgnVCM1000000b205a0aRCRD,CONCEJO DE TEVERGA,CALLE,V,1,MADRID,MADRID,28053,1,ENTREVIAS,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,442974,4470850,40.386296991431074,-3.671858416387963
1973,Centro Cultural Los Rosales (Villaverde),Not informed Value,El horario del Centro Cultural Los Rosales es de 8:00 a 22:00 h de lunes a viernes y de 9:30 a 13:30 h los sábados. Secretaría: de lunes a jueves de 9:30 a 13:30 y de 17:00 a 19:00 y viernes de 9:30 a 13:30 horas. Durante el mes de julio el horario será de 9 a 14 horas.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5b91e79ee71c010VgnVCM1000000b205a0aRCRD,LOS ROSALES,AVENIDA,V,133,MADRID,MADRID,28021,3,BUTARQUE,17,Villaverde,https://wikidata.org/entity/Q919536,442482,4466908,40.35074797433515,-3.6773064421969233
6469004,Centro Cultural Mercado de Ibiza (Retiro),Not informed Value,"De lunes a viernes, de 9 a 14 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dbeab973f50e7310VgnVCM1000000b205a0aRCRD,IBIZA,CALLE,V,8,MADRID,MADRID,28009,4,IBIZA,3,Retiro,https://wikidata.org/entity/Q2002296,442533,4474392,40.41817872037522,-3.677376337125393
1933,Centro Cultural Meseta de Orcasitas (Usera),Not informed Value,"De lunes a viernes, 9:30 a 13:30 y de 17 a 20 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD,ASOCIACION,PLAZA,V,1,MADRID,MADRID,28041,1,ORCASITAS,12,Usera,https://wikidata.org/entity/Q953368,439879,4469031,40.36968950845358,-3.7081679144829076
