farmacia_nro_soe;titular_nombre;direccion_vial_tipo;direccion_vial_nombre;direccion_vial_nro;municipio_nombre;localizacion_coordenada_x;localizacion_coordenada_y
79;Mª Sol Lopez Fernandez;CALLE;de Domingo Rodelgo;14;Morata de Tajuña;462796;4453236
80;Maria De Izaskun Santos Izaguirre;CALLE;del Real;28;Carabaña;479776;4456224
81;Pedro Juan González De Lucas;CALLE;Real;34;Tielmes;472949;4454969
82;Hortensia Polo Del Saz;AVDA;del Ensanche de Vallecas;83;Madrid;449431;4468129
83;Jose Miguel Tenorio Marquez;CALLE;de José Ortega y Gasset;85;Madrid;443034;4475688
84;Maria Casas Galvez;CALLE;de López de Hoyos;121;Madrid;443065;4477490
85;Maria Dolores Lopez Colmenarejo;PLAZA;del Pueblo;10;Colmenar Viejo;435287;4501172
86;Yolanda Garcia Ballestero;CALLE;del Marqués de Viana;3;Madrid;440726;4479131
87;Angela Casero Carretero;CALLE;de Nuestra Señora de Valverde;71;Madrid;441708;4483002
88;Mª Eugenia Campos López;CALLE;de Palencia;2;Madrid;440376;4477925
89;Alberto Javier Carrasco Martinez;CALLE;de Santa Teresa;3;Madrid;440953;4475285
90;Carmen Ruiz Castro;CALLE;de la Plaza;36;Fuenlabrada;432474;4459471
91;Antonio Cavero Matias;CALLE;de Bravo Murillo;339;Madrid;441047;4479555
92;Francisco Javier Corral Cepeda;CALLE;de Hortaleza;96;Madrid;440796;4475126
93;Maria Belen Martinez Muñoz;CALLE;de Narváez;50;Madrid;442622;4474547
94;Lorena Callejon Payno;CALLE;de los Embajadores;102;Madrid;440553;4472625
95;Rosa Maria Barrueco Iglesias;AVDA;de Machupichu;37;Madrid;446807;4478940
96;Felipe Jesus Martin Nuñez;CALLE;de Galileo;61;Madrid;439755;4476399
97;José Daniel Jiménez Pozanco;CALLE;Mayor;59;Madrid;439782;4474128
98;Aranzazu Martinez Martinez;CALLE;de Ferraz;53;Madrid;438837;4475714
99;Ramon Luis Mustieles Moreno;CALLE;del Gobernador;87;Aranjuez;448531;4431541
100;Isabel Cordero Diaz;CALLE;del Jazmín;44;Madrid;443516;4481141
101;Jorge Gonzalez Sanchez;CALLE;de Fernando el Católico;10;Madrid;439988;4476171
102;Rafael Otero Company;PLAZA;de la Puerta del Sol;14;Madrid;440398;4474299
103;Susana Cardona Rey;CALLE;de la Luna;6;Madrid;440176;4474807
104;Isabel Saenz De Buruaga Saura;CALLE;de Fernando VI;29;Madrid;441030;4475096
105;Jose Luis Cortes Garcia;CALLE;José Yañez;4;Miraflores de la Sierra;435391;4518365
106;Mariano Moreno De Guerra Garcia-Delgado;CALLE;de los Cuchilleros;12;Madrid;439911;4473951
107;Ana Maria Gabas Mauri;AVDA;de Juan Antonio Samaranch;29;Madrid;447876;4481891
108;Jose Alonso Y Gregorio;PASEO;de Marcelino Camacho;13;Madrid;437126;4470818
109;Beatriz Gil-Fournier Crespo;CALLE;del General Pardiñas;20;Madrid;442445;4475187
110;Monica Vergara Gonzalez;CALLE;de Jorge Juan;104;Madrid;442917;4474940
111;Monica Clotilde Del Toro Cruzat;CALLE;de Don Ramón de la Cruz;59;Madrid;442496;4475585
112;Maria Gracia Martinez Parejo;CALLE;del Marqués de Urquijo;15;Madrid;439111;4475728
113;Raquel Gil Nuñez;CALLE;Real;52;Arganda del Rey;462934;4461130
115;Aurora Suarez Aparicio;PASEO;de la Florida;8;Madrid;438753;4474872
116;Jorge Plaza Mayor;CALLE;de Preciados;14;Madrid;440227;4474399
117;Jorge Lambea Del Yerro;CALLE;de Trafalgar;35;Madrid;440477;4476165
118;Inmaculada Concepción Privado  Zaragoza;CALLE;de Ages;2;Madrid;443027;4484000
119;Mª Del Mar Castillo Olmo;CALLE;de Narváez;3;Madrid;442694;4475080
120;Juan Jose Guervos Bermejo;CALLE;del Espíritu Santo;10;Madrid;440387;4475191
121;Maria Luisa Alonso Iglesias;PLAZA;de la Constitución;4;Cenicientos;375203;4457996
122;José Ignacio Camino García;CLLON;del Embudo;0;Colmenar de Oreja;466761;4439841
123;Susana Acacio Lafuente;AVDA;de Andalucía;6,400;Madrid;441006;4469168
124;Gloria Alvarez Vazquez;CALLE;de Cleopatra;6;Madrid;443955;4470391
125;Maria Jesus Martinez Corces;CALLE;del General Ricardos;40;Madrid;438886;4471913
126;María Del Pilar Herrero Burgos;CALLE;del Conde de Peñalver;80;Madrid;442762;4476015
127;Isabel Mingo Garrote;CALLE;del Concejal Francisco José Jiménez Martín;152;Madrid;436311;4472451
128;Pedro Domenech Carrillo;CALLE;de Bravo Murillo;193;Madrid;440388;4478451
129;Monica Lopez Bartolome;CTRA;de Villaverde a Vallecas;29;Madrid;441778;4467644
130;Lucia Garcia Monescillo;CALLE;de San Bernardo;112;Madrid;440201;4475842
131;Raquel Muñoz Gonzalez;CALLE;de Mejía Lequerica;3;Madrid;440795;4475315
132;Jose Ignacio Del Riego Minco;AVDA;de la Ciudad de Barcelona;53;Madrid;442503;4472700
133;Lucia Portero Fontanilla;CALLE;de La Adrada;26;Madrid;448334;4468921
134;Paloma Martinez Sarri;CALLE;de Apodaca;8;Madrid;440537;4475412
135;Carmen Carmona Lendinez;CALLE;Nogal;9;Guadalix de la Sierra;441306;4515061
136;Jose Vicente Bellver Jimenez;CALLE;de Cea Bermúdez;15;Madrid;439878;4476688
137;Fidela Alvarez Plaza;CALLE;del Doctor Sanchís Banús;31;Madrid;439764;4471036
138;Ana María Alonso Baena;CALLE;de César Cort Botí;14;Madrid;448133;4483022
139;Antonio De Valles Calvo;PASEO;de Federico García Lorca;19;Madrid;447307;4469870
141;Javier Guerrero Aguilera;CALLE;de Hortaleza;66;Madrid;440699;4474938
142;Jose Manuel Jimenez Ramirez;CALLE;de Lope de Rueda;3;Madrid;442552;4474995
143;Carlos Enrique Muñoz Sanz;AVDA;de la Albufera;48;Madrid;443509;4471952
144;Maria Sainz Acacio;AVDA;de la Reina Victoria;8;Madrid;440197;4477629
145;Isabel Celada Toribio;CALLE;de Rodríguez San Pedro;47;Madrid;439460;4475920
146;Purificacion Leboutet Ruiz;CALLE;de Francos Rodríguez;54;Madrid;440082;4478695
147;Isabel Lucas Sanchez;CALLE;de Guzmán el Bueno;81;Madrid;439516;4476531
148;Maria Concepcion Gallego Gallego;CALLE;Doctor Benito;9;Valdemoro;442233;4449144
149;Inmaculada Sanz Fernandez De Cordoba;CALLE;de Diego de León;63;Madrid;442691;4476231
150;Maria Victoria Contreras Belinchon;AVDA;de Rafael Alberti;27;Madrid;445612;4470854
151;Mariano Andres Tejedor;CALLE;de Don Ramón de la Cruz;91;Madrid;442868;4475561
152;Felipe Jose Ramos Cerezo;CALLE;de la Princesa;62;Madrid;439239;4475852
153;Angel Fernandez Alvarez;CALLE;Juan de Toledo;25;San Lorenzo de El Escorial;403591;4494516
154;Maria Trabada Ocio;AVDA;de Valladolid;19;Madrid;438257;4475378
155;Paloma Fernandez Garcia;AVDA;de Los Rosales;16;Madrid;441268;4468765
156;Barbara Riginelli Caso;CALLE;de Argumosa;19;Madrid;440733;4473300
157;Mercedes Linde Garcia;CALLE;del Padre Claret;9;Madrid;443597;4477483
158;Javier Gonzalez Nuevo;AVDA;de Montecarmelo;7;Madrid;440824;4483828
159;Diana Vilar Peron;CALLE;de Espoz y Mina;9;Madrid;440420;4474122
160;Rosa Mª Fernandez Vegas;CALLE;de Alonso Cano;93;Madrid;440856;4477316
161;Maria Gudelia Ferrera Goya;CALLE;de Ibiza;17;Madrid;442580;4474423
162;Dolores Morcuende Campos;CALLE;de Jesús del Gran Poder;11;Madrid;440373;4471083
163;Maria Teresa Fernandez-Prieto Gonzalez;CALLE;de Fernando el Santo;5;Madrid;441113;4475531
165;Maria Del Mar Pizarro Pizarroso;PLAZA;de Luca de Tena;12;Madrid;441069;4472586
166;Maria Pilar Barambio Martinez;CALLE;de Modesto Lafuente;1;Madrid;440916;4476312
168;Marta Paz  Rodriguez Lurigados;PLAZA;de la Virgen de los Llanos;7;Madrid;433844;4470004
169;Nuria Ruiz Iglesias;CALLE;de Altamirano;14;Madrid;439089;4475881
170;Jose Manuel Argiz Rodriguez;PASEO;de Extremadura;40;Madrid;438120;4473911
171;Maria Reyes Martinez Lopez;CALLE;de Bravo Murillo;257;Madrid;440660;4478985
172;Amaya Rodriguez Gamboa;CALLE;de Ibiza;5;Madrid;442469;4474431
174;Angela Peralta Rojo;CALLE;de Pilar de Zaragoza;36;Madrid;443189;4476182
176;Cristina Arroyo Perez;CALLE;de Bravo Murillo;168;Madrid;440407;4478307
177;Cristina Almudena Ruiz Cruz;PLAZA;de la Constitución;5;Moralzarzal;417825;4503575
178;Ana María Quiroga Fernandez De Soto;CALLE;de Hortaleza;2;Madrid;440534;4474644
179;Cristina Berrocal Valencia;CALLE;de Alenza;5;Madrid;440572;4477209
180;Enrique Gascon Gonzalez;CALLE;del Arenal;15;Madrid;439980;4474327
181;Maria Milagros Garcia Rua;CALLE;de Zurbano;54;Madrid;441214;4476192
182;Isabel De Abia Fernandez;PLAZA;de Don Antonio de Andrés;12;Madrid;448641;4472591
183;Maria Teresa Castaños Dorrego;CALLE;Cristo;4;Campo Real;467597;4465325
184;Marta De Alfonso Molero;CALLE;del Marqués de Santillana;16;Colmenar Viejo;435075;4501236
185;Ricardo Sanz-Gadea Gómez;CALLE;de Velázquez;30;Madrid;441984;4475131
186;Maria Pilar Garcia-Guijas Redondo;CALLE;del General Oraa;59;Madrid;442506;4476371
187;Fuensanta Sala Martínez;AVDA;de Menéndez Pelayo;45;Madrid;442462;4474303
188;Mercedes Garcia Rodriguez;CALLE;del Acuerdo;38;Madrid;439976;4475666
189;Jose Agustin Rodriguez Martinez;CALLE;de Tribulete;25;Madrid;440318;4473207
190;Jose Carnicero Prestamo;CTRA;de Canillas;140;Madrid;445807;4479570
191;Milagros Sebastian Velasco;CALLE;de Raimundo Fernández Villaverde;33;Madrid;440620;4477596
192;Leonor Sans Balmes;CALLE;de Melilla;35;Madrid;439830;4472478
193;Concepcion Gonzalez Lopez;CALLE;del Príncipe de Vergara;60;Madrid;442379;4475947
194;Maria Maravillas Buitrón Patuel;CALLE;de Samuel Baltes;16;Villarejo de Salvanés;476307;4446331
195;Irene Hervas Mora;CALLE;de Luchana;14;Madrid;440577;4475712
196;Maria Soledad Fernandez Diosdado;CALLE;del Capitán Blanco Argibay;45;Madrid;440634;4479676
197;Mª Pilar Gutierrez Baz;CALLE;de Pico Balaitus;16;Madrid;438906;4481568
198;Jose Mª Roquero Alonso;AVDA;de Niza;10;Madrid;448599;4475469
199;Mª Mar Sanchez Casado;CALLE;de la Isla Malaita;7;Madrid;438791;4480623
200;Julio Alvarez  Palacios;PLAZA;de la Corredera;4;San Martín de Valdeiglesias;381087;4468790
201;Mª Teresa De Eugenio Fernandez;CALLE;de Galileo;29;Madrid;439736;4476023
202;Alicia Garcia-Suarez Cibran;PLAZA;de la Marina Española;6;Madrid;439564;4474667
203;Isabel Fazanes Gutierrez;CALLE;de la Palma;75;Madrid;439853;4475369
204;Maria Mercedes Ibarra Garcia;CALLE;del Divino Pastor;28;Madrid;440169;4475499
205;Jose Miguel Rivas Francisco;PLAZA;de Cascorro;6;Madrid;440000;4473566
206;Maria Jose Rey Varona;CALLE;de la Cruz;13;Madrid;440487;4474134
207;Santiago Esteban De Miguelsanz;CALLE;del Alcalde López Casero;9;Madrid;444377;4476063
208;Rosa Maria Estaras Casado;PLAZA;de Clarín;8;Rivas-Vaciamadrid;452963;4468031
209;Cristina Marta Fernandez-Villalta Cubillo;CALLE;del Príncipe de Vergara;12;Madrid;442313;4475068
210;Amelia Ruiz Gomez;CALLE;San Félix de Alcalá;2;Alcalá de Henares;469001;4481725
211;Mercedes Artaza Guerrero;CALLE;de Fuencarral;114;Madrid;440421;4475682
212;Paloma Garcia Valiente;CALLE;de Guzmán el Bueno;34;Madrid;439631;4476421
213;Fatima Gimeno Rodriguez;CALLE;de la Raza;4;Madrid;448103;4477601
214;Leopoldo Ruiz Escudero;CALLE;de Santa Engracia;107;Madrid;440632;4476535
215;Mª Jose Gomez De Agüero Ramirez;CALLE;de Santa Engracia;163;Madrid;440363;4477370
216;Belen Marques Jimenez;CALLE;de la Laguna Negra;13;Madrid;446579;4472876
217;Fernando Gomez Rivera;AVDA;de la Reina Victoria;44;Madrid;439677;4477600
218;Mª Emma Jorge Gonzalez;CALLE;del Arroyo de las Pilillas;48;Madrid;444672;4473294
219;Mª Concepcion Aparicio Sanchez;CALLE;de Andrés Mellado;15;Madrid;439383;4475949
220;Raquel Cubo Perez;AVDA;Pocito de las Nieves;16;Rozas de Madrid, Las;426117;4482946
221;Angel Luis Fernandez Robles;CALLE;Colmenar;12;Chapinería;397328;4470631
222;Rocio Sanchez Sanchez-Romate;CALLE;Floridablanca;16;San Lorenzo de El Escorial;402973;4493963
223;Josefa Otero Amor;CALLE;de Recoletos;17;Madrid;441517;4474790
224;Mercedes Martin Gonzalez;AVDA;de Las Suertes;13;Madrid;448334;4469225
225;Heliodora Gonzalez Gonzalez;PASEO;de las Acacias;7;Madrid;440268;4472886
226;Matilde Gonzalez Rodriguez-Vilariño;CALLE;del General Pardiñas;64;Madrid;442480;4475661
227;Raquel Casado Alvaro;CALLE;Real;38;Buitrago del Lozoya;446418;4538217
228;Maria Del Dulce Nombre Ulargui Lopez;CALLE;de la Princesa;16;Madrid;439547;4475280
229;Ana Maria Pareja Gonzalez;CALLE;de Antonio López;67;Madrid;439980;4471721
230;Rosario Moreno Blasco;CALLE;de Alburquerque;23;Madrid;440557;4475870
231;Angel Renales Salinero;AVDA;del Doctor Arce;32;Madrid;442422;4477746
232;Raquel Delgado Querol;CALLE;de López de Hoyos;7;Madrid;441691;4476490
233;Juan Carlos Pasamontes Martínez;CALLE;de Matilde Hernández;9;Madrid;437760;4471519
235;Yolanda Del Pilar Legido Atienza;CALLE;del León;13;Madrid;440714;4473945
236;Ángel Mela Lorenzo;CALLE;de Arturo Soria;337;Madrid;443605;4481500
237;Cristina Ayuso Galan;AVDA;de la Paz;15;Perales de Tajuña;470050;4453476
238;Luis Toledano Paez;PLAZA;de San Miguel;8;Madrid;439804;4474109
239;David María Canton Moreno;CALLE;de López de Hoyos;83;Madrid;442853;4477319
240;Adrian Samuel Domingo Gesteiro;CALLE;de Bravo Murillo;75;Madrid;440273;4477169
241;Teresa Pla Prats;CALLE;del Patrimonio Mundial;9;Aranjuez;448283;4434440
242;Jose Chacon Hernandez;CALLE;de Peña Nueva;74;Madrid;447324;4469088
243;Jorge Irastorza Mora;CALLE;de Francisco Silvela;56;Madrid;442778;4476271
244;Carmen Lorenzo Pernia;AVDA;de Felipe II;13;Madrid;442829;4475061
245;Mª Luisa Del Valle Loarte;CALLE;de Riaza;45;Madrid;433595;4478715
246;Maria Luz Del Rio Recuero;CALLE;Solana;s/n;Torrejón de Ardoz;460057;4478405
247;Oscar Lopez Moreno;CALLE;de Raimundo Fernández Villaverde;16;Madrid;440469;4477556
248;Jose Felix Huerta Velayos;CALLE;Tinte;2;Alcalá de Henares;469133;4481533
250;Jesus David Quiros Quiros;AVDA;de Madrid;23;Lozoyuela-Navas-Sieteiglesias;448047;4530277
251;Lucia Del Carmen Milans Del Bosch Rodriguez-Ponga;CALLE;de los Jardines;11;Madrid;440530;4474499
252;Enrique Bernat Diaz;PASEO;de las Delicias;72;Madrid;441074;4472283
253;Diego Bravo Alvear;CALLE;de Alcalá;409;Madrid;445726;4476483
254;Alicia Martinez Perez;CALLE;de Antonio López;139;Madrid;440631;4471117
255;Francisco Lopez-Belmonte Rubira;CALLE;de San Bernardo;55;Madrid;440002;4475262
257;Mª Teresa Manzanaro Fernandez-Montes;AVDA;de los Toreros;41;Madrid;443362;4475958
258;Maria Isabel Caballero Sanchez-Robles;CALLE;de Barquillo;7;Madrid;440973;4474663
259;Maria Pilar Garcia Sanz;CALLE;de Bravo Murillo;306;Madrid;440944;4479393
260;Joaquin Ramos Martinez;GTA;de Embajadores;5;Madrid;440400;4472886
261;Marta Prieto Marcos;CALLE;de Clara del Rey;60;Madrid;443386;4477582
262;Elena Maria Briones Pando;CALLE;de Monasterio de Liébana;5;Madrid;441107;4484231
263;Mª Del Carmen Garcia Monescillo;AVDA;de la Reina Victoria;3;Madrid;440259;4477575
264;María Teresa De Frutos Sastre;CALLE;de Toledo;66;Madrid;439780;4473480
265;Rosa Velasco Nebra;CALLE;de Donoso Cortés;86;Madrid;439281;4476467
266;Maria Isabel Enriquez Ascarza;CALLE;Juan de la Cierva;20;Arganda del Rey;462542;4461320
267;Maria Scherezade Jimenez Moreno;CALLE;de Santa Engracia;34;Madrid;440857;4475936
268;Cristina Rubido Crespo;CALLE;de Monasterio de Caaveiro;13;Madrid;440887;4484099
269;Ana Mª Montilla Illera;CALLE;de Preciados;35;Madrid;440004;4474577
270;Raimundo Perez Fernandez;CALLE;de Alcalá;219;Madrid;443529;4475671
271;Pedro Juan Palacios Bueno;CALLE;de Alcalá;157;Madrid;442797;4475219
272;Samuel Chocron Isso;CALLE;de las Azucenas;24;Madrid;440747;4479455
273;Paloma Biosca Vancells;PLAZA;de Puerta Cerrada;5;Madrid;439884;4473917
274;Jose Ramon Lopez-Antuñano Garcia;AVDA;de la Constitución;14;Robledo de Chavela;395057;4483955
275;Rafael Puerto Cano;CALLE;del Marqués de Urquijo;27;Madrid;439003;4475684
276;Isabel Requesens Veguillas;AVDA;de Felipe II;1;Madrid;442648;4475053
277;Herederos De Maria Carmen Carbellido Otero;CALLE;de la Doctora;4;Navalcarnero;413850;4460424
278;Piedad Herrero Castrillo;CALLE;de Serrano;186;Madrid;442080;4477784
279;Fernanda Lopez-Laguna Guerrero;CALLE;de Don Ramón de la Cruz;26;Madrid;442045;4475596
280;Marina Garcia Garcia;PASEO;de las Delicias;50;Madrid;441090;4472435
281;Maria Teresa Garbayo Sesma;CALLE;de Segovia;8;Madrid;439727;4473908
282;Antonio Alarcon Baquero;CALLE;del Duque de Rivas;3;Madrid;440074;4473881
283;Pilar Sanchez Del Castillo;CALLE;del Camino de los Vinateros;0;Madrid;443942;4473712
284;Adriana Isabel De La Morena Frutos;AVDA;de España;54;Molar, El;450780;4509501
285;Salvador Zaragoza Jimenez;CALLE;Fuente de la Salud;25;Griñón;427411;4451915
286;Eva Mª Belda Labrador;CALLE;de San Romualdo;51;Madrid;447440;4476240
287;Mª Dolores Grande Perez;CALLE;de la Princesa;72;Madrid;439173;4475971
288;Susana Conde Perez;CALLE;de la Buena Madre;9;Pinto;440559;4454855
289;Jose Manuel De La Riva Grandal;CALLE;de Alcalá;172;Madrid;443481;4475596
290;Francisco De Asis Millan Chamizo;CALLE;del Alcalde Sáinz de Baranda;9;Madrid;442579;4474277
291;Eva Mª Anglada Paramo;CALLE;del Rincón de la Victoria;6;Madrid;445509;4470583
292;Maria Rosario Luque Reguera;CALLE;Juan Muñoz;10;Leganés;434917;4464592
293;Mª Pilar Bruna Fernandez;CALLE;de Jerónimo de la Quintana;2;Madrid;440307;4475881
294;Amaya Pilar Bravo Garcia;CALLE;de la Constitución;12;Navalcarnero;413823;4460156
295;Ana Font De Mora Segura;CALLE;de Platerías;3;Madrid;442499;4479885
296;Ángel De La Macorra Noguera;CALLE;de Marcelo Usera;79;Madrid;440067;4470809
297;Esperanza Gonzalez Rogado;CALLE;de San Antonio;86;Aranjuez;448587;4431625
298;Basilio Varona Sanchez;CALLE;de Toledo;53;Madrid;439937;4473695
300;Elena Jimenez Canales;CALLE;de Elvira;17;Madrid;443572;4474832
301;Marta Retamar Leboutet;CALLE;de Santa Engracia;4;Madrid;440991;4475543
302;Mª Carmen Lejeune Dopico;CALLE;de Fucar;10;Madrid;440974;4473688
303;Luisa Mangas Blanco;CALLE;de Fuentespina;23;Madrid;448572;4469991
304;Marta Pellon Arrieta;CALLE;de Miguel Ángel;22;Madrid;441389;4476392
305;Mª Angeles Crespo Cid;CALLE;de Segovia;45;Madrid;439124;4473914
306;Maria Jesus Santana Gonzalez;CALLE;de Martínez de la Riva;2;Madrid;443273;4471906
307;Maria Carmen Peña Lopez;CALLE;Gran Vía;12;Madrid;440709;4474573
308;Ana Lamas Carreiro;CALLE;de Lagasca;130;Madrid;441974;4476419
309;Diego Dabrio  Polo;CALLE;de las Infantas;42;Madrid;440828;4474608
310;Maria Rosa Ramos Esteban;CALLE;de las Islas Aleutianas;5;Madrid;438165;4480745
311;Ana Celada Carrizo;CALLE;de Carranza;9;Madrid;440320;4475618
312;Soledad Prados Garcia;CALLE;del Jazmín;21;Madrid;443660;4481365
313;Jose Maria Divar Conde;CALLE;de Carlos Martín Álvarez;35;Madrid;443693;4471193
314;Silvia Gallego Barrasus;CALLE;de Alcalá;121;Madrid;442260;4474906
315;Victoria Palmaz Arenas;CALLE;de Benito Gutiérrez;25;Madrid;438948;4475876
316;Miguel Angel Martin Medina;CALLE;del Puerto Alto;3;Madrid;443466;4471809
317;Jorge Mario Anton Otero;CALLE;de Bravo Murillo;108;Madrid;440335;4477716
318;Sidonia Ripoll Gomez;CALLE;de Barquillo;31;Madrid;440986;4474960
319;Maria Esteban Jimenez;CALLE;de Lavapiés;56;Madrid;440461;4473390
